Phase,Size,Volume,N,N_mRNA,N_Protein,<mRNA>,<Protein>,NmRNA,NPro,N_mRNA/NmRNA,replicate
Dense_a,10.5,4904.8,187.97,0.0,187.97,,0.0292,0,400,0.0,3
Dense_a,10.6,4945.9,187.66,0.0,187.66,,0.029,0,400,0.0,2
Dense_a,10.6,5015.0,190.074,0.0,190.074,,0.029,0,400,0.0,1
Dense_a,11.0,5511.8,253.996,25.456,240.536,,0.0278,50,400,0.50912,2
Dense_a,11.4,6128.7,271.77,28.804,247.24,,0.0273,50,400,0.5760799999999999,1
Dense_a,11.3,5985.8,280.512,31.04,249.472,,0.0275,50,400,0.6208,3
Dense_a,11.3,6122.6,267.41,23.622,243.788,,0.0278,35,400,0.6749142857142857,3
Dense_a,11.3,6022.9,270.652,24.98,245.672,,0.0279,35,400,0.7137142857142857,1
Dense_a,11.5,6346.1,272.664,25.45,247.214,,0.0276,35,400,0.7271428571428571,2
Dense_a,11.3,6096.8,250.254,18.228,232.026,,0.0278,25,400,0.7291200000000001,3
Dense_a,11.4,6160.5,257.414,19.726,237.688,,0.0278,25,400,0.78904,2
Dense_a,11.3,6117.2,259.494,21.454,238.04,,0.0278,25,400,0.85816,1
Dense_a,11.0,5628.6,223.602,9.82,213.782,,0.0282,10,400,0.982,2
Dense_a,11.1,5732.7,227.742,9.89,217.852,,0.0281,10,400,0.9890000000000001,3
Dense_a,10.9,5392.1,207.026,4.95,202.076,,0.0283,5,400,0.99,2
Dense_a,11.1,5778.0,230.182,9.904,220.278,,0.0283,10,400,0.9904,1
Dense_a,10.8,5306.8,206.814,4.988,201.826,,0.0284,5,400,0.9976,1
Dense_a,10.8,5279.3,205.18,5.0,200.18,,0.0284,5,400,1.0,3
Dense_a,11.8,6856.3,250.628,0.0,250.628,,0.0289,0,450,0.0,3
Dense_a,11.7,6793.3,248.34,0.0,248.34,,0.0288,0,450,0.0,2
Dense_a,11.8,6804.6,248.942,0.0,248.942,,0.0289,0,450,0.0,1
Dense_a,12.2,7658.7,324.554,30.416,294.138,,0.0275,50,450,0.60832,2
Dense_a,12.1,7358.9,325.886,31.368,299.056,,0.0277,50,450,0.6273599999999999,3
Dense_a,12.3,7826.5,335.626,33.286,302.34,,0.0276,50,450,0.66572,1
Dense_a,12.3,7862.9,318.484,25.244,293.24,,0.0277,35,450,0.7212571428571428,3
Dense_a,12.4,7941.2,321.418,26.07,295.348,,0.0275,35,450,0.7448571428571429,2
Dense_a,12.3,7727.0,327.37,28.972,298.398,,0.0279,35,450,0.8277714285714286,1
Dense_a,12.3,7843.5,312.648,21.382,291.266,,0.0279,25,450,0.85528,2
Dense_a,12.3,7770.2,312.674,22.5,290.174,,0.0278,25,450,0.9,3
Dense_a,12.3,7701.8,313.202,22.926,290.276,,0.0278,25,450,0.91704,1
Dense_a,12.1,7426.0,278.304,9.742,268.562,,0.028,10,450,0.9742000000000001,1
Dense_a,12.1,7350.3,277.51,9.874,267.636,,0.0282,10,450,0.9874,2
Dense_a,11.9,7096.3,263.412,4.942,258.47,,0.0284,5,450,0.9884000000000001,3
Dense_a,11.9,7043.2,262.662,4.98,257.682,,0.0285,5,450,0.9960000000000001,2
