Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,10,1000,0.845,1720.0,0.0769,7.69,0.0,1.21,1424.1422755893975,10.0,843.506,1
a_fit /µM,10,2500,0.942,1700.0,0.0769,19.2,0.0,1.13,1511.8618200794417,10.0,2355.13,1
a_fit /µM,10,2500,0.943,1700.0,0.0769,19.2,0.0,1.11,1529.0015869868182,10.0,2356.426,2
a_fit /µM,10,2500,0.942,1710.0,0.0769,19.2,0.0,1.13,1505.658153887839,10.0,2354.146,3
a_fit /µM,10,5000,0.973,1700.0,0.0769,38.5,0.0,1.07,1581.796055748266,10.0,4863.126,1
a_fit /µM,10,5000,0.973,1690.0,0.0769,38.5,0.0,1.07,1578.9531059643052,10.0,4863.492,3
a_fit /µM,10,5000,0.973,1700.0,0.0769,38.5,0.0,1.07,1588.8953574466452,10.0,4863.86,2
a_fit /µM,25,400,0.631,1710.0,0.192,3.08,0.0203,1.19,1435.9463996800098,22.36,245.674,3
a_fit /µM,25,400,0.632,1690.0,0.192,3.08,0.0165,1.19,1424.9769182434054,22.852,245.708,2
a_fit /µM,25,400,0.63,1710.0,0.192,3.08,0.0213,1.19,1440.5645336033112,22.23,245.628,1
a_fit /µM,25,450,0.627,1710.0,0.192,3.46,0.0456,1.22,1400.0436005963943,19.082,291.16,3
a_fit /µM,25,450,0.683,1700.0,0.192,3.46,0.00405,1.15,1470.2982505524292,24.474,300.014,2
a_fit /µM,25,450,0.681,1700.0,0.192,3.46,0.0058,1.16,1467.3403606146333,24.246,299.296,1
a_fit /µM,25,500,0.696,1710.0,0.192,3.85,0.0101,1.22,1408.0865792407697,23.684,341.95,3
a_fit /µM,25,500,0.701,1710.0,0.192,3.85,0.0101,1.2,1422.3986125031988,23.684,344.098,2
a_fit /µM,25,500,0.691,1710.0,0.192,3.85,0.0106,1.24,1380.8094550563533,23.626,339.28,1
a_fit /µM,25,1000,0.851,1710.0,0.192,7.69,0.0,1.18,1454.7005396653012,25.0,847.706,1
a_fit /µM,25,1000,0.852,1710.0,0.192,7.69,0.0,1.17,1458.643833942787,25.0,847.812,2
