Phase,Size,Volume,N,N_mRNA,N_Protein,<mRNA>,<Protein>,NmRNA,NPro,N_mRNA/NmRNA,replicate
Dense_a,10.7,5085.0,194.068,0.0,194.068,,0.0291,0,400,0.0,2
Dense_a,10.8,5206.0,197.506,0.0,197.506,,0.0291,0,400,0.0,3
Dense_a,10.6,5042.7,193.154,0.0,193.154,,0.0291,0,400,0.0,1
Dense_a,8.6,2707.2,149.166,18.51,245.984,,0.0273,50,400,0.37020000000000003,3
Dense_a,9.4,3510.9,178.002,21.168,238.296,,0.0271,50,400,0.42335999999999996,2
Dense_a,10.6,4932.2,227.126,21.34,247.978,,0.0278,35,400,0.6097142857142858,1
Dense_a,11.3,5997.9,275.796,31.32,259.358,,0.0276,50,400,0.6264,1
Dense_a,11.2,5929.1,256.508,23.052,248.03,,0.0277,35,400,0.6586285714285715,3
Dense_a,11.3,6117.2,280.554,29.01,257.146,,0.0276,35,400,0.8288571428571428,2
Dense_a,11.4,6274.7,267.858,22.23,245.628,,0.0278,25,400,0.8892,1
Dense_a,11.5,6314.5,268.034,22.36,245.674,,0.0277,25,400,0.8944,3
Dense_a,11.5,6311.0,268.56,22.852,245.708,,0.0275,25,400,0.91408,2
Dense_a,10.9,5389.0,209.49,4.958,204.532,,0.0283,5,400,0.9916,2
Dense_a,10.9,5472.4,212.098,5.0,207.098,,0.0282,5,400,1.0,3
Dense_a,11.1,5744.4,229.916,10.0,219.916,,0.0281,10,400,1.0,1
Dense_a,10.9,5451.8,212.952,5.0,207.952,,0.0284,5,400,1.0,1
Dense_a,11.1,5757.3,229.05,10.0,219.05,,0.028,10,400,1.0,3
Dense_a,11.2,5851.2,229.366,10.0,219.366,,0.0279,10,400,1.0,2
Dense_a,11.9,7058.9,258.356,0.0,258.356,,0.0288,0,450,0.0,2
Dense_a,11.9,7025.1,256.124,0.0,256.124,,0.0288,0,450,0.0,3
Dense_a,11.9,7076.3,256.808,0.0,256.808,,0.0287,0,450,0.0,1
Dense_a,11.6,6613.1,285.49,27.824,306.45000000000005,,0.0276,50,450,0.5564800000000001,3
Dense_a,11.6,6493.2,289.852,28.052,311.56399999999996,,0.0277,50,450,0.56104,2
Dense_a,11.8,6807.7,324.154,32.652,309.15200000000004,,0.0279,50,450,0.6530400000000001,1
Dense_a,12.0,7298.0,304.392,23.9,289.29,,0.0278,35,450,0.6828571428571428,2
Dense_a,12.1,7474.1,297.86,19.082,291.16,,0.0278,25,450,0.7632800000000001,3
Dense_a,12.3,7707.0,318.636,26.882,298.69,,0.0277,35,450,0.7680571428571429,1
Dense_a,12.4,7927.4,333.312,30.9,302.412,,0.0275,35,450,0.8828571428571428,3
Dense_a,12.4,7981.2,323.542,24.246,299.296,,0.0277,25,450,0.9698399999999999,1
Dense_a,12.4,8005.3,324.488,24.474,300.014,,0.0276,25,450,0.97896,2
Dense_a,12.1,7428.5,281.052,9.95,271.102,,0.0281,10,450,0.9949999999999999,3
Dense_a,12.0,7194.8,278.138,9.986,268.152,,0.0283,10,450,0.9986,1
Dense_a,12.0,7326.4,272.4,5.0,267.4,,0.0284,5,450,1.0,2
Dense_a,12.0,7277.0,269.614,5.0,264.614,,0.0283,5,450,1.0,3
Dense_a,12.2,7569.5,287.012,10.0,277.012,,0.0281,10,450,1.0,2
Dense_a,12.0,7241.8,269.302,5.0,264.302,,0.0283,5,450,1.0,1
Dense_a,12.8,8817.4,313.72,0.0,313.72,,0.0287,0,500,0.0,2
Dense_a,12.8,8774.5,314.072,0.0,314.072,,0.0288,0,500,0.0,3
Dense_a,12.8,8848.4,314.742,0.0,314.742,,0.0287,0,500,0.0,1
Dense_a,12.7,8525.3,349.23,26.794,343.412,,0.0278,50,500,0.53588,2
Dense_a,12.1,7498.1,328.454,29.368,355.05600000000004,,0.0275,50,500,0.58736,3
Dense_a,12.8,8757.9,354.354,30.484,350.60400000000004,,0.0276,50,500,0.60968,1
Dense_a,12.6,8321.6,331.23,23.202,346.922,,0.0278,35,500,0.6629142857142858,1
Dense_a,12.9,8998.9,367.784,26.92,351.046,,0.0277,35,500,0.7691428571428572,3
Dense_a,13.0,9237.7,379.014,28.634,355.274,,0.0279,35,500,0.8181142857142857,2
Dense_a,13.0,9259.4,362.906,23.626,339.28,,0.0278,25,500,0.9450400000000001,1
Dense_a,13.0,9155.8,365.634,23.684,341.95,,0.0279,25,500,0.9473600000000001,3
Dense_a,13.1,9472.4,367.782,23.684,344.098,,0.0278,25,500,0.9473600000000001,2
Dense_a,13.0,9252.1,337.442,9.994,327.448,,0.028,10,500,0.9994,1
Dense_a,12.9,8927.4,323.108,5.0,318.108,,0.0282,5,500,1.0,2
Dense_a,12.9,9032.3,323.812,5.0,318.812,,0.0282,5,500,1.0,3
Dense_a,12.9,8952.3,323.768,5.0,318.768,,0.0284,5,500,1.0,1
Dense_a,12.9,9025.6,333.54,10.0,323.54,,0.0281,10,500,1.0,3
Dense_a,12.9,9023.9,333.442,10.0,323.442,,0.0281,10,500,1.0,2
Dense_a,18.4,25889.1,837.708,0.0,837.708,,0.0281,0,1000,0.0,2
Dense_a,18.4,25950.3,837.688,0.0,837.688,,0.0281,0,1000,0.0,3
Dense_a,18.4,26000.6,838.376,0.0,838.376,,0.0281,0,1000,0.0,1
Dense_a,18.1,24940.5,857.086,36.456,852.86,,0.0277,50,1000,0.7291200000000001,1
Dense_a,18.3,25636.0,894.934,42.588,858.5120000000001,,0.0278,50,1000,0.8517600000000001,3
Dense_a,18.3,25837.9,895.202,43.652,856.644,,0.0276,50,1000,0.87304,2
Dense_a,18.4,26256.2,879.252,32.588,846.664,,0.0276,35,1000,0.9310857142857143,1
Dense_a,18.3,25823.5,886.742,34.096,852.646,,0.0277,35,1000,0.9741714285714285,3
Dense_a,18.4,26110.2,882.676,34.408,848.268,,0.0276,35,1000,0.9830857142857143,2
Dense_a,18.4,26193.5,872.706,25.0,847.706,,0.0278,25,1000,1.0,1
Dense_a,18.4,26063.1,843.592,5.0,838.592,,0.028,5,1000,1.0,1
