Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,0,400,0.428,1790.0,0.0,3.08,0.0,1.76,1017.1780427283124,0.0,171.158,1
a_fit /µM,0,400,0.446,1780.0,0.0,3.08,0.0,1.71,1046.1748002688637,0.0,178.346,2
a_fit /µM,0,400,0.439,1780.0,0.0,3.08,0.0,1.73,1033.927476049918,0.0,175.772,3
a_fit /µM,0,450,0.526,1770.0,0.0,3.46,0.0,1.64,1078.8183777980742,0.0,236.72,1
a_fit /µM,0,450,0.526,1770.0,0.0,3.46,0.0,1.64,1075.3842059291512,0.0,236.616,2
a_fit /µM,0,450,0.532,1770.0,0.0,3.46,0.0,1.62,1089.9697820206493,0.0,239.424,3
a_fit /µM,0,500,0.594,1760.0,0.0,3.85,0.0,1.56,1125.7867105018474,0.0,296.856,1
a_fit /µM,0,500,0.595,1760.0,0.0,3.85,0.0,1.56,1126.7270315412227,0.0,297.346,2
a_fit /µM,0,500,0.595,1760.0,0.0,3.85,0.0,1.56,1128.6589229298306,0.0,297.342,3
a_fit /µM,0,1000,0.828,1730.0,0.0,7.69,0.0,1.33,1300.752238229838,0.0,827.934,2
a_fit /µM,0,1000,0.826,1720.0,0.0,7.69,0.0,1.34,1282.516985154172,0.0,825.724,3
a_fit /µM,0,1000,0.826,1720.0,0.0,7.69,0.0,1.34,1286.121806527215,0.0,826.276,1
a_fit /µM,0,2500,0.937,1710.0,0.0,19.2,0.0,1.22,1393.706424977099,0.0,2342.41,1
a_fit /µM,0,2500,0.938,1700.0,0.0,19.2,0.0,1.21,1411.5729693738788,0.0,2344.578,2
a_fit /µM,0,2500,0.938,1700.0,0.0,19.2,0.0,1.21,1404.4719019862978,0.0,2344.282,3
a_fit /µM,0,5000,0.971,1690.0,0.0,38.5,0.0,1.15,1468.3782320409205,0.0,4853.186,1
a_fit /µM,0,5000,0.97,1690.0,0.0,38.5,0.0,1.17,1451.6153107895004,0.0,4851.508,3
a_fit /µM,0,5000,0.97,1690.0,0.0,38.5,0.0,1.16,1453.598485187476,0.0,4851.854,2
a_fit /µM,5,400,0.485,1740.0,0.0385,3.08,0.0,1.6,1081.050319868941,5.0,191.434,1
a_fit /µM,5,400,0.48,1740.0,0.0385,3.08,0.00111,1.62,1077.4096267600746,4.856,189.656,2
a_fit /µM,5,400,0.473,1750.0,0.0385,3.08,0.000123,1.64,1067.7481249923092,4.984,186.46,3
a_fit /µM,5,450,0.548,1750.0,0.0385,3.46,0.000508,1.58,1105.4485777657278,4.934,244.418,1
a_fit /µM,5,450,0.559,1740.0,0.0385,3.46,0.00139,1.54,1127.9167230090372,4.82,249.68,2
a_fit /µM,5,450,0.56,1740.0,0.0385,3.46,0.000431,1.54,1132.8279177070056,4.944,250.002,3
a_fit /µM,5,500,0.604,1730.0,0.0385,3.85,0.0,1.54,1123.3454631307925,5.0,299.822,1
a_fit /µM,5,500,0.618,1740.0,0.0385,3.85,0.0,1.49,1169.3775540248923,5.0,306.854,2
a_fit /µM,5,500,0.616,1740.0,0.0385,3.85,9.24e-05,1.49,1167.2950029299718,4.988,306.258,3
a_fit /µM,5,1000,0.827,1720.0,0.0385,7.69,0.0,1.34,1284.361398454966,5.0,826.546,1
a_fit /µM,5,1000,0.828,1720.0,0.0385,7.69,0.0,1.33,1293.9138338275825,5.0,827.562,3
a_fit /µM,5,1000,0.827,1720.0,0.0385,7.69,0.0,1.34,1282.5637193824386,5.0,826.156,2
a_fit /µM,5,2500,0.937,1700.0,0.0385,19.2,0.0,1.22,1398.9161902740675,5.0,2343.34,3
a_fit /µM,5,2500,0.939,1700.0,0.0385,19.2,0.0,1.2,1422.5255330334055,5.0,2345.984,2
a_fit /µM,5,2500,0.938,1700.0,0.0385,19.2,0.0,1.21,1401.3159481308032,5.0,2343.674,1
a_fit /µM,5,5000,0.971,1690.0,0.0385,38.5,1.57e-05,1.15,1468.5095059181697,4.998,4853.73,2
a_fit /µM,5,5000,0.971,1690.0,0.0385,38.5,0.0,1.15,1467.9292776140028,5.0,4853.188,3
a_fit /µM,5,5000,0.971,1690.0,0.0385,38.5,0.0,1.15,1469.4821424157788,5.0,4853.442,1
a_fit /µM,10,400,0.529,1730.0,0.0769,3.08,0.00665,1.48,1169.5097764205805,9.136,207.644,1
a_fit /µM,10,400,0.542,1730.0,0.0769,3.08,0.00155,1.44,1195.4639343890767,9.798,212.438,3
a_fit /µM,10,400,0.528,1720.0,0.0769,3.08,0.00276,1.49,1161.2458838692528,9.642,206.984,2
a_fit /µM,10,450,0.583,1730.0,0.0769,3.46,0.00254,1.47,1176.04665231527,9.67,258.622,1
a_fit /µM,10,450,0.578,1720.0,0.0769,3.46,0.0,1.49,1152.8515432084416,10.0,256.032,3
a_fit /µM,10,450,0.577,1730.0,0.0769,3.46,0.00177,1.49,1159.1979167503798,9.77,255.818,2
a_fit /µM,10,500,0.625,1730.0,0.0769,3.85,0.0,1.47,1172.817857134792,10.0,308.62,1
a_fit /µM,10,500,0.634,1720.0,0.0769,3.85,0.000955,1.43,1199.9390991681107,9.876,313.696,3
a_fit /µM,10,500,0.63,1720.0,0.0769,3.85,0.00197,1.45,1186.3258597567665,9.744,311.712,2
a_fit /µM,10,1000,0.83,1710.0,0.0769,7.69,0.0,1.32,1296.5289554901656,10.0,828.656,2
a_fit /µM,10,1000,0.831,1710.0,0.0769,7.69,0.0,1.32,1299.3210676463084,10.0,829.004,3
a_fit /µM,10,1000,0.829,1720.0,0.0769,7.69,0.00116,1.33,1291.511751681184,9.85,827.834,1
a_fit /µM,10,2500,0.939,1700.0,0.0769,19.2,0.0,1.19,1430.6995371519097,10.0,2346.724,1
a_fit /µM,10,2500,0.939,1700.0,0.0769,19.2,4.66e-05,1.19,1421.50649827118,9.994,2346.322,2
a_fit /µM,10,2500,0.938,1700.0,0.0769,19.2,0.0,1.2,1411.0217088139875,10.0,2345.162,3
a_fit /µM,10,5000,0.971,1690.0,0.0769,38.5,0.0,1.15,1475.7973166123406,10.0,4854.05,1
a_fit /µM,10,5000,0.971,1670.0,0.0769,38.5,0.0,1.13,1482.483936847771,10.0,4856.224,3
a_fit /µM,10,5000,0.97,1690.0,0.0769,38.5,0.0,1.16,1450.8998728918125,10.0,4851.888,2
a_fit /µM,25,400,0.587,1710.0,0.192,3.08,0.0408,1.31,1303.5925822133763,19.694,229.936,3
a_fit /µM,25,400,0.591,1690.0,0.192,3.08,0.0389,1.3,1301.7130765248894,19.94,231.042,2
a_fit /µM,25,400,0.597,1690.0,0.192,3.08,0.0261,1.29,1311.0505798239146,21.608,232.252,1
a_fit /µM,25,450,0.659,1700.0,0.192,3.46,0.00988,1.24,1378.0809032289262,23.716,289.444,3
a_fit /µM,25,450,0.625,1710.0,0.192,3.46,0.0325,1.34,1277.3593093909758,20.782,275.934,2
a_fit /µM,25,450,0.639,1710.0,0.192,3.46,0.0249,1.3,1315.8362424980612,21.762,281.606,1
a_fit /µM,25,500,0.689,1700.0,0.192,3.85,0.00921,1.25,1362.4214134999745,23.804,338.046,3
a_fit /µM,25,500,0.685,1700.0,0.192,3.85,0.00942,1.26,1346.6179599058776,23.776,335.814,2
a_fit /µM,25,500,0.68,1710.0,0.192,3.85,0.0166,1.28,1341.683783778543,22.842,334.236,1
a_fit /µM,25,1000,0.844,1710.0,0.192,7.69,0.0,1.23,1385.7238784127885,25.0,840.024,1
a_fit /µM,25,1000,0.842,1710.0,0.192,7.69,0.00241,1.25,1369.9341475020508,24.688,838.374,2
a_fit /µM,25,1000,0.839,1710.0,0.192,7.69,0.0,1.27,1343.7035142088175,25.0,835.25,3
a_fit /µM,25,2500,0.94,1700.0,0.192,19.2,0.0,1.18,1436.830868013585,25.0,2347.94,2
a_fit /µM,25,2500,0.94,1690.0,0.192,19.2,0.00045,1.18,1438.206601804868,24.942,2348.264,3
a_fit /µM,25,2500,0.94,1700.0,0.192,19.2,0.00186,1.18,1435.8427403823353,24.76,2347.932,1
a_fit /µM,25,5000,0.971,1690.0,0.192,38.5,0.0,1.13,1497.7666814208983,25.0,4856.52,3
a_fit /µM,25,5000,0.971,1690.0,0.192,38.5,0.0,1.13,1495.234548392263,25.0,4856.254,2
a_fit /µM,25,5000,0.972,1690.0,0.192,38.5,4.71e-05,1.12,1511.995683164408,24.994,4857.822,1
a_fit /µM,35,400,0.601,1700.0,0.269,3.08,0.083,1.25,1357.3954943464512,24.218,237.132,1
a_fit /µM,35,400,0.614,1690.0,0.269,3.08,0.0673,1.22,1377.7052762654384,26.256,240.872,2
a_fit /µM,35,400,0.596,1680.0,0.269,3.08,0.0831,1.27,1324.8956368958231,24.204,235.13,3
a_fit /µM,35,450,0.644,1700.0,0.269,3.46,0.0664,1.26,1344.3829776034115,26.368,286.118,1
a_fit /µM,35,450,0.637,1690.0,0.269,3.46,0.0748,1.28,1321.1814836959643,25.278,283.474,2
a_fit /µM,35,450,0.645,1690.0,0.269,3.46,0.0767,1.25,1355.9493559954635,25.03,288.024,3
a_fit /µM,35,500,0.684,1700.0,0.269,3.85,0.0602,1.24,1371.9253789693148,27.186,338.95,1
a_fit /µM,35,500,0.708,1690.0,0.269,3.85,0.0264,1.18,1436.8735634342063,31.576,347.354,2
a_fit /µM,35,500,0.694,1690.0,0.269,3.85,0.0399,1.22,1387.760285277508,29.824,341.458,3
a_fit /µM,35,1000,0.849,1710.0,0.269,7.69,0.000185,1.21,1415.3003164991123,34.976,843.632,1
a_fit /µM,35,1000,0.847,1700.0,0.269,7.69,0.00454,1.21,1403.827961525633,34.412,842.72,3
a_fit /µM,35,1000,0.842,1700.0,0.269,7.69,0.00765,1.25,1358.5485299767968,34.008,837.732,2
a_fit /µM,35,2500,0.941,1700.0,0.269,19.2,0.0,1.16,1470.8753928272008,35.0,2351.068,3
a_fit /µM,35,2500,0.941,1700.0,0.269,19.2,0.0,1.15,1469.755233605331,35.0,2351.448,2
a_fit /µM,35,2500,0.941,1700.0,0.269,19.2,0.0,1.17,1455.1934509974371,35.0,2349.83,1
a_fit /µM,35,5000,0.971,1560.0,0.269,38.5,0.0,1.14,1367.398197388016,35.0,4854.534,2
a_fit /µM,35,5000,0.972,1680.0,0.269,38.5,0.000126,1.12,1499.7783939451276,34.984,4857.57,3
a_fit /µM,35,5000,0.971,1690.0,0.269,38.5,0.0,1.13,1488.1409153557777,35.0,4855.564,1
a_fit /µM,50,400,0.603,1680.0,0.385,3.08,0.153,1.22,1373.36302383353,30.144,241.344,1
a_fit /µM,50,400,0.611,1680.0,0.385,3.08,0.15,1.2,1401.167794527964,30.562,244.612,3
a_fit /µM,50,400,0.585,1690.0,0.385,3.08,0.168,1.24,1363.3408321915392,28.122,239.164,2
a_fit /µM,50,450,0.642,1680.0,0.385,3.46,0.142,1.24,1358.7341299907166,31.51,289.458,1
a_fit /µM,50,450,0.635,1700.0,0.385,3.46,0.148,1.23,1384.6093807959571,30.812,290.836,3
a_fit /µM,50,450,0.648,1690.0,0.385,3.46,0.134,1.22,1383.3402080366925,32.564,291.554,2
a_fit /µM,50,500,0.678,1700.0,0.385,3.85,0.135,1.23,1385.5070155864482,32.462,340.478,1
a_fit /µM,50,500,0.669,1700.0,0.385,3.85,0.145,1.26,1353.2662717830788,31.174,336.834,3
a_fit /µM,50,500,0.679,1690.0,0.385,3.85,0.143,1.19,1424.841732048536,31.438,345.596,2
a_fit /µM,50,1000,0.855,1690.0,0.385,7.69,0.0302,1.15,1476.2001032545666,46.082,851.58,1
a_fit /µM,50,1000,0.834,1690.0,0.385,7.69,0.0732,1.28,1326.404837188962,40.512,834.718,2
a_fit /µM,50,1000,0.849,1700.0,0.385,7.69,0.0296,1.19,1424.8449910247527,46.168,845.742,3
