Phase,Size,Volume,N,N_mRNA,N_Protein,<mRNA>,<Protein>,NmRNA,NPro,N_mRNA/NmRNA,replicate
Dense_a,10.6,4928.1,189.574,0.0,189.574,,0.029,0,400,0.0,3
Dense_a,10.6,5034.8,193.652,0.0,193.652,,0.0292,0,400,0.0,2
Dense_a,10.7,5128.1,194.83,0.0,194.83,,0.029,0,400,0.0,1
Dense_a,11.0,5577.9,241.402,21.4,220.002,,0.0279,50,400,0.428,3
Dense_a,11.0,5588.9,245.54,21.9,223.64,,0.0279,50,400,0.43799999999999994,2
Dense_a,11.1,5672.9,247.228,21.92,225.308,,0.0279,50,400,0.4384,1
Dense_a,11.3,6019.0,247.55,19.092,228.458,,0.0277,35,400,0.5454857142857142,3
Dense_a,11.3,6037.3,252.182,19.61,232.572,,0.0279,35,400,0.5602857142857143,1
Dense_a,11.2,5859.3,248.91,19.764,229.146,,0.0279,35,400,0.5646857142857142,2
Dense_a,11.2,5952.2,242.81,15.572,227.238,,0.028,25,400,0.62288,2
Dense_a,11.3,6075.5,247.598,16.51,231.088,,0.028,25,400,0.6604000000000001,3
Dense_a,11.2,5822.6,242.174,16.662,225.512,,0.0281,25,400,0.66648,1
Dense_a,11.1,5762.2,224.876,7.808,217.068,,0.0284,10,400,0.7807999999999999,1
Dense_a,11.0,5522.3,218.968,8.232,210.736,,0.0284,10,400,0.8231999999999999,3
Dense_a,10.9,5451.9,211.76,4.44,207.32,,0.0285,5,400,0.8880000000000001,2
Dense_a,11.1,5656.8,225.032,9.098,215.934,,0.0282,10,400,0.9098,2
Dense_a,10.9,5443.7,211.234,4.576,206.658,,0.0286,5,400,0.9151999999999999,3
Dense_a,10.9,5446.3,211.304,4.898,206.406,,0.0283,5,400,0.9795999999999999,1
Dense_a,11.9,7029.6,257.098,0.0,257.098,,0.0288,0,450,0.0,3
Dense_a,11.9,6986.0,254.738,0.0,254.738,,0.0287,0,450,0.0,2
Dense_a,11.9,7021.5,255.788,0.0,255.788,,0.0288,0,450,0.0,1
Dense_a,12.1,7480.1,304.464,23.796,280.668,,0.0279,50,450,0.47592,2
Dense_a,12.1,7464.4,302.272,25.138,277.134,,0.0278,50,450,0.50276,3
Dense_a,12.0,7318.4,307.988,25.678,282.31,,0.0279,50,450,0.51356,1
Dense_a,12.2,7668.0,303.728,21.142,282.586,,0.0279,35,450,0.6040571428571428,2
Dense_a,12.2,7561.0,305.164,21.678,283.486,,0.0278,35,450,0.6193714285714286,3
Dense_a,12.3,7790.1,315.388,23.256,292.132,,0.0279,35,450,0.6644571428571429,1
Dense_a,12.2,7564.2,298.334,17.544,280.79,,0.0281,25,450,0.70176,1
Dense_a,12.2,7583.2,298.802,18.55,280.252,,0.0281,25,450,0.742,2
Dense_a,12.2,7563.7,300.424,19.068,281.356,,0.0281,25,450,0.7627200000000001,3
Dense_a,12.0,7256.5,275.826,8.75,267.076,,0.0283,10,450,0.875,3
Dense_a,12.0,7292.2,269.876,4.662,265.214,,0.0285,5,450,0.9324,2
Dense_a,12.1,7461.7,281.276,9.376,271.9,,0.0283,10,450,0.9376,2
Dense_a,12.0,7213.1,267.112,4.71,262.402,,0.0283,5,450,0.942,1
Dense_a,11.9,7048.9,263.748,4.828,258.92,,0.0284,5,450,0.9656,3
Dense_a,12.2,7550.2,283.876,9.764,274.112,,0.0281,10,450,0.9763999999999999,1
Dense_a,12.8,8829.6,313.516,0.0,313.516,,0.0286,0,500,0.0,3
Dense_a,12.8,8877.6,314.398,0.0,314.398,,0.0287,0,500,0.0,2
Dense_a,12.8,8718.1,310.26,0.0,310.26,,0.0286,0,500,0.0,1
Dense_a,12.9,9038.1,358.644,25.754,332.89,,0.0279,50,500,0.51508,3
