Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,0,400,0.47,1800.0,0.0,3.08,0.0,1.63,1101.1260209862,0.0,187.97,3
a_fit /µM,0,400,0.469,1780.0,0.0,3.08,0.0,1.63,1092.307045691293,0.0,187.66,2
a_fit /µM,0,400,0.475,1780.0,0.0,3.08,0.0,1.62,1102.9653883722308,0.0,190.074,1
a_fit /µM,0,450,0.557,1780.0,0.0,3.46,0.0,1.53,1157.277250964927,0.0,250.628,3
a_fit /µM,0,450,0.552,1770.0,0.0,3.46,0.0,1.55,1142.8331631532694,0.0,248.34,2
a_fit /µM,0,450,0.553,1780.0,0.0,3.46,0.0,1.55,1147.9247593456064,0.0,248.942,1
a_fit /µM,0,500,0.618,1760.0,0.0,3.85,0.0,1.47,1199.9335149411752,0.0,308.978,3
a_fit /µM,0,500,0.617,1770.0,0.0,3.85,0.0,1.47,1199.978242817516,0.0,308.512,2
a_fit /µM,0,500,0.612,1760.0,0.0,3.85,0.0,1.49,1179.7123448845407,0.0,305.878,1
a_fit /µM,0,1000,0.833,1730.0,0.0,7.69,0.0,1.29,1347.8484849987165,0.0,833.314,1
a_fit /µM,0,1000,0.833,1730.0,0.0,7.69,0.0,1.29,1344.1798224218876,0.0,833.068,3
a_fit /µM,0,1000,0.833,1730.0,0.0,7.69,0.0,1.29,1343.2169476421311,0.0,832.876,2
a_fit /µM,0,2500,0.941,1710.0,0.0,19.2,0.0,1.15,1486.896783776881,0.0,2351.768,3
a_fit /µM,0,2500,0.94,1710.0,0.0,19.2,0.0,1.17,1465.347103943613,0.0,2349.72,2
a_fit /µM,0,2500,0.94,1710.0,0.0,19.2,0.0,1.17,1468.363411227927,0.0,2349.774,1
a_fit /µM,0,5000,0.972,1700.0,0.0,38.5,0.0,1.11,1529.8121396213594,0.0,4858.344,2
a_fit /µM,0,5000,0.972,1700.0,0.0,38.5,0.0,1.1,1541.957809524077,0.0,4859.514,3
a_fit /µM,0,5000,0.972,1700.0,0.0,38.5,0.0,1.09,1556.9201461581024,0.0,4860.71,1
a_fit /µM,5,400,0.507,1750.0,0.0385,3.08,0.0,1.54,1135.5649453556643,5.0,200.18,3
a_fit /µM,5,400,0.511,1740.0,0.0385,3.08,0.000385,1.52,1141.376877112075,4.95,202.076,2
a_fit /µM,5,400,0.511,1750.0,0.0385,3.08,9.23e-05,1.53,1146.5879080982102,4.988,201.826,1
a_fit /µM,5,450,0.579,1750.0,0.0385,3.46,0.000446,1.47,1183.9910304182786,4.942,258.47,3
a_fit /µM,5,450,0.577,1750.0,0.0385,3.46,0.000154,1.48,1184.1070932592036,4.98,257.682,2
a_fit /µM,5,450,0.574,1750.0,0.0385,3.46,0.0,1.49,1175.2552869142612,5.0,256.38,1
a_fit /µM,5,500,0.628,1750.0,0.0385,3.85,0.000246,1.45,1205.7736734981795,4.968,311.97,3
a_fit /µM,5,500,0.628,1750.0,0.0385,3.85,0.0,1.45,1206.851241895668,5.0,312.154,2
a_fit /µM,5,500,0.627,1740.0,0.0385,3.85,0.0004,1.45,1204.1038255851815,4.948,311.91,1
a_fit /µM,5,1000,0.836,1730.0,0.0385,7.69,0.0,1.27,1356.1475001477677,5.0,834.812,2
a_fit /µM,5,1000,0.835,1730.0,0.0385,7.69,0.0,1.28,1356.9674344955647,5.0,834.444,3
a_fit /µM,5,1000,0.836,1730.0,0.0385,7.69,0.0,1.28,1352.6385741570296,5.0,834.682,1
a_fit /µM,5,2500,0.94,1710.0,0.0385,19.2,0.0,1.16,1478.39512359207,5.0,2350.9,1
a_fit /µM,5,2500,0.941,1710.0,0.0385,19.2,0.0,1.16,1480.1837583504232,5.0,2351.044,2
a_fit /µM,5,2500,0.941,1710.0,0.0385,19.2,0.0,1.16,1479.0751715785589,5.0,2351.13,3
a_fit /µM,5,5000,0.972,1700.0,0.0385,38.5,0.0,1.09,1563.2958526625723,5.0,4861.408,1
a_fit /µM,5,5000,0.972,1700.0,0.0385,38.5,0.0,1.09,1554.4223832230966,5.0,4860.68,3
a_fit /µM,5,5000,0.972,1700.0,0.0385,38.5,0.0,1.1,1551.717540942674,5.0,4860.304,2
a_fit /µM,10,400,0.545,1740.0,0.0769,3.08,0.00139,1.43,1211.8111514948716,9.82,213.782,2
a_fit /µM,10,400,0.555,1730.0,0.0769,3.08,0.000847,1.4,1234.70585176359,9.89,217.852,3
a_fit /µM,10,400,0.561,1740.0,0.0769,3.08,0.000739,1.38,1258.827389153172,9.904,220.278,1
a_fit /µM,10,450,0.603,1730.0,0.0769,3.46,0.00097,1.4,1235.0032760397455,9.874,267.636,2
a_fit /µM,10,450,0.605,1740.0,0.0769,3.46,0.0,1.4,1243.9056515608563,10.0,268.498,3
a_fit /µM,10,450,0.605,1720.0,0.0769,3.46,0.00199,1.4,1234.915328802399,9.742,268.562,1
a_fit /µM,10,500,0.649,1730.0,0.0769,3.85,0.000508,1.38,1256.454631602979,9.934,320.884,2
a_fit /µM,10,500,0.645,1730.0,0.0769,3.85,0.00129,1.39,1243.086320454745,9.832,318.984,3
a_fit /µM,10,500,0.65,1740.0,0.0769,3.85,0.00169,1.37,1264.2210138734763,9.78,321.712,1
a_fit /µM,10,1000,0.838,1720.0,0.0769,7.69,4.63e-05,1.26,1370.1282112107208,9.994,836.864,1
a_fit /µM,10,1000,0.839,1720.0,0.0769,7.69,0.0,1.25,1373.709130728021,10.0,837.402,2
a_fit /µM,10,1000,0.839,1720.0,0.0769,7.69,0.0,1.25,1376.2427638543902,10.0,837.634,3
a_fit /µM,10,2500,0.942,1710.0,0.0769,19.2,0.0,1.14,1504.065480132083,10.0,2353.544,2
a_fit /µM,10,2500,0.941,1710.0,0.0769,19.2,0.0,1.16,1476.2411275381037,10.0,2350.89,3
a_fit /µM,10,2500,0.941,1710.0,0.0769,19.2,0.0,1.15,1490.886862780108,10.0,2352.072,1
a_fit /µM,10,5000,0.973,1700.0,0.0769,38.5,0.0,1.08,1575.7653407711164,10.0,4862.496,3
a_fit /µM,10,5000,0.972,1700.0,0.0769,38.5,0.0,1.1,1547.917145727152,10.0,4860.214,2
a_fit /µM,10,5000,0.972,1700.0,0.0769,38.5,0.0,1.09,1552.7920983768224,10.0,4860.616,1
a_fit /µM,25,400,0.611,1710.0,0.192,3.08,0.0273,1.25,1370.8902795964118,21.454,238.04,1
a_fit /µM,25,400,0.606,1710.0,0.192,3.08,0.0406,1.25,1371.447628329842,19.726,237.688,2
a_fit /µM,25,400,0.589,1710.0,0.192,3.08,0.0521,1.29,1322.533112741003,18.228,232.026,3
a_fit /µM,25,450,0.659,1710.0,0.192,3.46,0.016,1.23,1390.4470834402284,22.926,290.276,1
a_fit /µM,25,450,0.658,1720.0,0.192,3.46,0.0279,1.22,1403.8230086558883,21.382,291.266,2
a_fit /µM,25,450,0.658,1710.0,0.192,3.46,0.0192,1.23,1388.6000158808638,22.5,290.174,3
