Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,0,400,0.494,1790.0,0.0,3.08,0.0,1.56,1147.8321171916514,0.0,197.796,1
a_fit /µM,0,400,0.493,1780.0,0.0,3.08,0.0,1.56,1138.7524559950332,0.0,197.28,3
a_fit /µM,0,400,0.491,1770.0,0.0,3.08,0.0,1.57,1132.1164782040316,0.0,196.522,2
a_fit /µM,0,450,0.57,1770.0,0.0,3.46,0.0,1.49,1190.802385684334,0.0,256.496,1
a_fit /µM,0,450,0.576,1770.0,0.0,3.46,0.0,1.47,1204.4109168632942,0.0,259.374,3
a_fit /µM,0,450,0.567,1760.0,0.0,3.46,0.0,1.5,1175.7735820164492,0.0,255.128,2
a_fit /µM,0,500,0.637,1760.0,0.0,3.85,0.0,1.4,1263.3171619982586,0.0,318.702,1
a_fit /µM,0,500,0.63,1760.0,0.0,3.85,0.0,1.42,1235.2951971390085,0.0,314.932,3
a_fit /µM,0,500,0.626,1760.0,0.0,3.85,0.0,1.44,1226.397296342334,0.0,313.23,2
a_fit /µM,0,1000,0.839,1720.0,0.0,7.69,0.0,1.24,1389.606278007332,0.0,839.172,2
a_fit /µM,0,1000,0.838,1730.0,0.0,7.69,0.0,1.25,1383.6762736228943,0.0,838.11,3
a_fit /µM,0,1000,0.839,1730.0,0.0,7.69,0.0,1.24,1394.4258702349132,0.0,839.156,1
a_fit /µM,0,2500,0.942,1710.0,0.0,19.2,0.0,1.12,1523.255931425174,0.0,2355.554,1
a_fit /µM,0,2500,0.943,1710.0,0.0,19.2,0.0,1.11,1537.6097487613467,0.0,2356.758,2
a_fit /µM,0,2500,0.943,1710.0,0.0,19.2,0.0,1.11,1539.4475187159276,0.0,2356.96,3
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.05,1624.709484672951,0.0,4866.838,1
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.06,1596.901396342853,0.0,4864.69,3
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.07,1588.4655092532485,0.0,4863.648,2
a_fit /µM,5,400,0.524,1740.0,0.0385,3.08,0.0,1.48,1173.933147333097,5.0,207.368,1
a_fit /µM,5,400,0.534,1740.0,0.0385,3.08,0.0,1.45,1199.7917442086875,5.0,211.234,3
a_fit /µM,5,400,0.525,1740.0,0.0385,3.08,0.000262,1.48,1178.6959409267668,4.966,207.718,2
a_fit /µM,5,450,0.591,1740.0,0.0385,3.46,0.0002,1.43,1213.8244845327506,4.974,263.838,1
a_fit /µM,5,450,0.594,1740.0,0.0385,3.46,0.0,1.42,1225.5535006393384,5.0,265.402,3
a_fit /µM,5,450,0.603,1750.0,0.0385,3.46,1.54e-05,1.39,1255.4036264253648,4.998,269.218,2
a_fit /µM,5,500,0.642,1740.0,0.0385,3.85,0.000139,1.39,1250.01669855122,4.982,319.356,1
a_fit /µM,5,500,0.65,1740.0,0.0385,3.85,0.0,1.36,1279.6476159684669,5.0,323.006,3
