Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,0,400,0.474,1790.0,0.0,3.08,0.0,1.62,1103.0332029056715,0.0,189.574,3
a_fit /µM,0,400,0.484,1790.0,0.0,3.08,0.0,1.59,1130.250567082523,0.0,193.652,2
a_fit /µM,0,400,0.487,1790.0,0.0,3.08,0.0,1.58,1131.0727724559126,0.0,194.83,1
a_fit /µM,0,450,0.571,1770.0,0.0,3.46,0.0,1.48,1192.4379358083836,0.0,257.098,3
a_fit /µM,0,450,0.566,1770.0,0.0,3.46,0.0,1.5,1176.4643317912487,0.0,254.738,2
a_fit /µM,0,450,0.568,1770.0,0.0,3.46,0.0,1.49,1186.5787743652993,0.0,255.788,1
a_fit /µM,0,500,0.627,1760.0,0.0,3.85,0.0,1.44,1226.7007271554264,0.0,313.516,3
a_fit /µM,0,500,0.629,1770.0,0.0,3.85,0.0,1.43,1235.251382111208,0.0,314.398,2
a_fit /µM,0,500,0.621,1760.0,0.0,3.85,0.0,1.46,1205.6768308517326,0.0,310.26,1
a_fit /µM,0,1000,0.838,1730.0,0.0,7.69,0.0,1.25,1381.98133539302,0.0,837.596,2
a_fit /µM,0,1000,0.838,1730.0,0.0,7.69,0.0,1.25,1386.6140576820062,0.0,838.156,3
a_fit /µM,0,1000,0.838,1720.0,0.0,7.69,0.0,1.25,1377.55306753335,0.0,837.724,1
a_fit /µM,0,2500,0.943,1710.0,0.0,19.2,0.0,1.12,1534.1602364962987,0.0,2356.352,1
a_fit /µM,0,2500,0.941,1710.0,0.0,19.2,0.0,1.15,1489.916689753523,0.0,2352.22,2
a_fit /µM,0,2500,0.941,1710.0,0.0,19.2,0.0,1.15,1482.1699479373565,0.0,2351.478,3
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.06,1594.6407153731,0.0,4864.45,1
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.05,1609.033146991078,0.0,4865.656,3
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.06,1599.8355450934016,0.0,4864.792,2
a_fit /µM,5,400,0.522,1760.0,0.0385,3.08,0.00326,1.49,1181.9787882108203,4.576,206.658,3
a_fit /µM,5,400,0.523,1760.0,0.0385,3.08,0.00431,1.48,1183.8622448195954,4.44,207.32,2
a_fit /µM,5,400,0.522,1740.0,0.0385,3.08,0.000785,1.49,1168.5903767050795,4.898,206.406,1
a_fit /µM,5,450,0.58,1750.0,0.0385,3.46,0.00132,1.47,1187.3753055001534,4.828,258.92,3
