Phase,Size,Volume,N,N_mRNA,N_Protein,<mRNA>,<Protein>,NmRNA,NPro,N_mRNA/NmRNA,replicate
Dense_a,10.2,4402.1,171.158,0.0,171.158,,0.0291,0,400,0.0,1
Dense_a,10.4,4648.0,178.346,0.0,178.346,,0.029,0,400,0.0,2
Dense_a,10.3,4573.5,175.772,0.0,175.772,,0.029,0,400,0.0,3
Dense_a,11.2,5941.9,263.358,28.122,239.164,,0.0274,50,400,0.56244,2
Dense_a,11.3,6033.3,271.488,30.144,241.344,,0.0273,50,400,0.60288,1
Dense_a,11.4,6196.2,275.174,30.562,244.612,,0.0272,50,400,0.61124,3
Dense_a,11.3,6048.0,259.334,24.204,235.13,,0.0273,35,400,0.6915428571428571,3
Dense_a,11.3,5975.9,261.35,24.218,237.132,,0.0277,35,400,0.6919428571428572,1
Dense_a,11.3,6078.2,267.128,26.256,240.872,,0.0274,35,400,0.7501714285714286,2
Dense_a,11.2,5946.9,249.63,19.694,229.936,,0.0277,25,400,0.78776,3
Dense_a,11.3,6044.1,250.982,19.94,231.042,,0.0275,25,400,0.7976000000000001,2
Dense_a,11.3,5976.9,253.86,21.608,232.252,,0.0275,25,400,0.86432,1
Dense_a,10.9,5453.4,216.78,9.136,207.644,,0.0281,10,400,0.9136,1
Dense_a,10.9,5410.7,216.626,9.642,206.984,,0.028,10,400,0.9642,2
Dense_a,10.6,4929.3,194.512,4.856,189.656,,0.0283,5,400,0.9712,2
Dense_a,11.0,5638.0,222.236,9.798,212.438,,0.028,10,400,0.9798,3
Dense_a,10.4,4775.7,191.444,4.984,186.46,,0.0285,5,400,0.9968,3
Dense_a,10.6,5020.0,196.434,5.0,191.434,,0.0282,5,400,1.0,1
Dense_a,11.5,6439.8,236.72,0.0,236.72,,0.0288,0,450,0.0,1
Dense_a,11.6,6462.7,236.616,0.0,236.616,,0.0287,0,450,0.0,2
Dense_a,11.6,6564.8,239.424,0.0,239.424,,0.0287,0,450,0.0,3
Dense_a,12.1,7446.2,317.55,30.812,290.836,,0.0276,50,450,0.61624,3
Dense_a,12.2,7526.0,320.968,31.51,289.458,,0.0273,50,450,0.6302,1
Dense_a,12.0,7242.2,324.118,32.564,291.554,,0.0274,50,450,0.65128,2
Dense_a,12.3,7807.5,313.054,25.03,288.024,,0.0275,35,450,0.7151428571428572,3
Dense_a,12.2,7532.5,308.752,25.278,283.474,,0.0275,35,450,0.7222285714285714,2
Dense_a,12.2,7610.0,312.486,26.368,286.118,,0.0276,35,450,0.7533714285714286,1
Dense_a,12.1,7398.4,296.716,20.782,275.934,,0.0278,25,450,0.83128,2
Dense_a,12.2,7520.1,303.368,21.762,281.606,,0.0277,25,450,0.87048,1
Dense_a,12.3,7795.5,313.16,23.716,289.444,,0.0277,25,450,0.94864,3
Dense_a,11.8,6850.5,254.5,4.82,249.68,,0.0283,5,450,0.9640000000000001,2
Dense_a,11.9,7008.2,268.292,9.67,258.622,,0.0282,10,450,0.967,1
Dense_a,11.8,6913.6,265.588,9.77,255.818,,0.0282,10,450,0.977,2
Dense_a,11.6,6608.3,249.352,4.934,244.418,,0.0284,5,450,0.9868,1
Dense_a,11.8,6819.7,254.946,4.944,250.002,,0.0283,5,450,0.9888,3
Dense_a,11.8,6965.9,266.032,10.0,256.032,,0.028,10,450,1.0,3
