Phase,Size,Volume,N,N_mRNA,N_Protein,<mRNA>,<Protein>,NmRNA,NPro,N_mRNA/NmRNA,replicate
Dense_a,12.6,8356.9,296.856,0.0,296.856,,0.0286,0,500,0.0,1
Dense_a,12.6,8377.0,297.346,0.0,297.346,,0.0286,0,500,0.0,2
Dense_a,12.6,8355.2,297.342,0.0,297.342,,0.0286,0,500,0.0,3
Dense_a,12.8,8795.5,368.008,31.174,336.834,,0.0276,50,500,0.62348,3
Dense_a,13.0,9234.8,373.19,31.438,345.596,,0.0275,50,500,0.62876,2
Dense_a,12.8,8802.8,372.94,32.462,340.478,,0.0277,50,500,0.64924,1
Dense_a,13.0,9230.1,366.136,27.186,338.95,,0.0277,35,500,0.7767428571428572,1
Dense_a,13.0,9115.1,371.282,29.824,341.458,,0.0275,35,500,0.8521142857142857,3
Dense_a,13.1,9440.3,378.93,31.576,347.354,,0.0274,35,500,0.9021714285714286,2
Dense_a,13.0,9196.0,357.078,22.842,334.236,,0.0278,25,500,0.9136799999999999,1
Dense_a,13.1,9352.9,359.59,23.776,335.814,,0.0277,25,500,0.95104,2
Dense_a,13.1,9373.3,361.85,23.804,338.046,,0.0276,25,500,0.9521599999999999,3
Dense_a,12.8,8774.6,321.456,9.744,311.712,,0.028,10,500,0.9743999999999999,2
Dense_a,12.8,8862.4,323.572,9.876,313.696,,0.028,10,500,0.9875999999999999,3
Dense_a,12.7,8612.4,311.246,4.988,306.258,,0.0283,5,500,0.9976,3
Dense_a,12.6,8411.5,304.822,5.0,299.822,,0.0281,5,500,1.0,1
Dense_a,12.7,8640.0,318.62,10.0,308.62,,0.0281,10,500,1.0,1
Dense_a,12.7,8669.4,311.854,5.0,306.854,,0.0283,5,500,1.0,2
Dense_a,18.3,25789.9,827.934,0.0,827.934,,0.0281,0,1000,0.0,2
Dense_a,18.3,25718.1,825.724,0.0,825.724,,0.028,0,1000,0.0,3
Dense_a,18.3,25780.3,826.276,0.0,826.276,,0.028,0,1000,0.0,1
Dense_a,18.3,25709.3,875.23,40.512,834.718,,0.0275,50,1000,0.81024,2
Dense_a,18.4,26252.2,897.662,46.082,851.58,,0.0275,50,1000,0.92164,1
Dense_a,18.2,25428.3,891.91,46.168,845.742,,0.0276,50,1000,0.92336,3
Dense_a,18.3,25604.5,871.74,34.008,837.732,,0.0276,35,1000,0.9716571428571429,2
Dense_a,18.4,26087.9,877.132,34.412,842.72,,0.0277,35,1000,0.9832,3
Dense_a,18.3,25780.0,837.684,9.85,827.834,,0.0279,10,1000,0.985,1
Dense_a,18.4,25921.9,863.062,24.688,838.374,,0.0278,25,1000,0.98752,2
Dense_a,18.4,25892.0,878.608,34.976,843.632,,0.0278,35,1000,0.9993142857142857,1
Dense_a,18.3,25835.8,838.656,10.0,828.656,,0.0279,10,1000,1.0,2
Dense_a,18.3,25839.5,839.004,10.0,829.004,,0.0279,10,1000,1.0,3
Dense_a,18.4,25992.4,865.024,25.0,840.024,,0.0278,25,1000,1.0,1
Dense_a,18.3,25774.9,831.546,5.0,826.546,,0.0279,5,1000,1.0,1
Dense_a,18.3,25871.6,860.25,25.0,835.25,,0.0278,25,1000,1.0,3
Dense_a,18.3,25803.8,832.562,5.0,827.562,,0.028,5,1000,1.0,3
Dense_a,18.3,25705.4,831.156,5.0,826.156,,0.028,5,1000,1.0,2
Dense_a,26.5,77624.5,2342.41,0.0,2342.41,,0.0277,0,2500,0.0,1
Dense_a,26.5,77660.0,2344.578,0.0,2344.578,,0.0277,0,2500,0.0,2
Dense_a,26.5,77832.9,2344.282,0.0,2344.282,,0.0276,0,2500,0.0,3
Dense_a,26.5,77806.8,2401.834,49.414,2352.42,,0.0275,50,2500,0.98828,3
Dense_a,26.5,77740.7,2372.692,24.76,2347.932,,0.0276,25,2500,0.9904000000000001,1
Dense_a,26.5,78137.0,2373.206,24.942,2348.264,,0.0275,25,2500,0.99768,3
Dense_a,26.5,77605.0,2401.344,49.95,2351.394,,0.0276,50,2500,0.9990000000000001,1
Dense_a,26.5,77621.7,2356.316,9.994,2346.322,,0.0276,10,2500,0.9994,2
Dense_a,26.5,78310.9,2403.374,50.0,2353.374,,0.0273,50,2500,1.0,2
Dense_a,26.5,77733.2,2348.34,5.0,2343.34,,0.0277,5,2500,1.0,3
Dense_a,26.5,77692.7,2350.984,5.0,2345.984,,0.0277,5,2500,1.0,2
Dense_a,26.5,77935.8,2356.724,10.0,2346.724,,0.0277,10,2500,1.0,1
Dense_a,26.5,77672.8,2386.068,35.0,2351.068,,0.0277,35,2500,1.0,3
Dense_a,26.5,78059.0,2386.448,35.0,2351.448,,0.0276,35,2500,1.0,2
Dense_a,26.5,77923.5,2372.94,25.0,2347.94,,0.0276,25,2500,1.0,2
Dense_a,26.4,77485.7,2348.674,5.0,2343.674,,0.0277,5,2500,1.0,1
Dense_a,26.5,77639.4,2384.83,35.0,2349.83,,0.0276,35,2500,1.0,1
Dense_a,26.5,77759.3,2355.162,10.0,2345.162,,0.0276,10,2500,1.0,3
Dense_a,34.0,165202.8,4853.186,0.0,4853.186,,0.0275,0,5000,0.0,1
Dense_a,34.1,165707.0,4851.508,0.0,4851.508,,0.0275,0,5000,0.0,3
Dense_a,34.1,165773.3,4851.854,0.0,4851.854,,0.0275,0,5000,0.0,2
Dense_a,34.1,165903.4,4904.928,49.9,4855.028,,0.0274,50,5000,0.998,2
Dense_a,34.1,166678.9,4892.554,34.984,4857.57,,0.0273,35,5000,0.9995428571428572,3
Dense_a,34.1,166304.3,4858.728,4.998,4853.73,,0.0274,5,5000,0.9996,2
Dense_a,34.1,165935.4,4882.816,24.994,4857.822,,0.0274,25,5000,0.99976,1
Dense_a,34.1,166196.2,4906.896,49.994,4856.902,,0.0274,50,5000,0.99988,1
Dense_a,34.6,172894.0,4889.534,35.0,4854.534,,0.0254,35,5000,1.0,2
Dense_a,34.1,165561.1,4864.05,10.0,4854.05,,0.0275,10,5000,1.0,1
Dense_a,34.1,166061.5,4881.52,25.0,4856.52,,0.0274,25,5000,1.0,3
Dense_a,34.1,166046.9,4881.254,25.0,4856.254,,0.0274,25,5000,1.0,2
Dense_a,34.1,165809.5,4906.344,50.0,4856.344,,0.0274,50,5000,1.0,3
Dense_a,34.1,165657.4,4858.188,5.0,4853.188,,0.0275,5,5000,1.0,3
Dense_a,34.2,167550.2,4866.224,10.0,4856.224,,0.0272,10,5000,1.0,3
Dense_a,34.1,166419.0,4890.564,35.0,4855.564,,0.0274,35,5000,1.0,1
Dense_a,34.1,165889.3,4861.888,10.0,4851.888,,0.0274,10,5000,1.0,2
Dense_a,34.1,165922.2,4858.442,5.0,4853.442,,0.0275,5,5000,1.0,1
