Seq,NmRNA,Mean_t_nuc,SE_t_nuc
1,0,0.26312280116861586,0.058836046984318616
1,1,0.3407322273010414,0.07619004223700383
2,0,0.10121686947824637,0.022632780062308254
2,1,0.09590765127521254,0.02144560278137196
3,0,0.11561093515585928,0.025851390995082157
3,1,0.11169361560260044,0.02497545171401457
4,0,0.7009918319719953,0.1567465387961492
4,1,0.44215702617102853,0.09886931672475734
5,0,0.15962660443407234,0.03569359385320551
5,1,0.16980330055009166,0.037969172283383236
