Seq,NmRNA,Mean_t_nuc,SE_t_nuc
1,0,0.28718953158859806,0.06421753150584283
1,1,0.25146296312543315,0.05622882793719915
2,0,0.0849808301383564,0.019002291297372777
2,1,0.09297382897149525,0.020789580170870275
3,0,0.15177337310556857,0.033937557943848964
3,1,0.09959159859976661,0.022269358445695102
4,0,0.5455320984870027,0.1219846856125048
4,1,0.3274405383353366,0.07321793023069384
5,0,0.16197699616602768,0.03621915742184607
5,1,0.10054175695949323,0.02248182031386894
