Phase,Size,Volume,N,N_mRNA,N_Protein,<mRNA>,<Protein>,NmRNA,NPro,N_mRNA/NmRNA,replicate
Dense_a,10.5,4874.3,186.06,0.0,186.06,,0.0291,0,400,0.0,3
Dense_a,10.6,4947.0,188.818,0.0,188.818,,0.0292,0,400,0.0,2
Dense_a,10.6,5009.7,189.972,0.0,189.972,,0.029,0,400,0.0,1
Dense_a,8.6,2652.8,171.444,21.74,267.468,,0.027,50,400,0.43479999999999996,2
Dense_a,8.4,2489.6,212.868,27.344,265.31,,0.0261,50,400,0.54688,3
Dense_a,10.1,4316.5,255.238,29.886,267.214,,0.0277,50,400,0.59772,1
Dense_a,9.8,3913.2,215.378,22.096,261.5,,0.0272,35,400,0.6313142857142857,1
Dense_a,10.5,4833.3,238.93,23.48,262.16999999999996,,0.0275,35,400,0.6708571428571428,2
Dense_a,11.2,5869.2,309.428,33.604,275.824,,0.0276,35,400,0.9601142857142857,3
Dense_a,11.5,6300.7,284.46,24.422,260.038,,0.0275,25,400,0.97688,2
Dense_a,11.2,5933.4,285.786,24.782,261.004,,0.0277,25,400,0.99128,1
Dense_a,11.1,5664.1,231.982,10.0,221.982,,0.0281,10,400,1.0,2
Dense_a,11.1,5765.8,233.312,10.0,223.312,,0.0279,10,400,1.0,3
Dense_a,10.9,5374.5,210.138,5.0,205.138,,0.028,5,400,1.0,3
Dense_a,10.9,5375.2,210.82,5.0,205.82,,0.0281,5,400,1.0,2
Dense_a,11.1,5792.5,234.03,10.0,224.03,,0.0278,10,400,1.0,1
Dense_a,10.9,5400.1,210.528,5.0,205.528,,0.0281,5,400,1.0,1
Dense_a,11.3,6094.8,286.19,25.0,261.19,,0.0278,25,400,1.0,3
Dense_a,11.8,6819.1,248.636,0.0,248.636,,0.0288,0,450,0.0,3
Dense_a,11.7,6740.7,247.576,0.0,247.576,,0.0289,0,450,0.0,2
Dense_a,11.8,6833.5,249.848,0.0,249.848,,0.0289,0,450,0.0,1
Dense_a,9.1,3118.8,191.974,22.688,310.872,,0.0269,50,450,0.45376,3
Dense_a,9.4,3491.4,201.53,24.534,325.036,,0.0275,50,450,0.49068,1
Dense_a,8.0,2131.9,276.008,33.564,315.14399999999995,,0.0231,50,450,0.67128,2
Dense_a,11.5,6314.0,314.49,27.024,310.866,,0.0278,35,450,0.7721142857142858,3
Dense_a,12.0,7304.6,325.654,28.014,315.274,,0.0276,35,450,0.8004,1
Dense_a,12.3,7706.6,356.318,33.874,322.444,,0.0276,35,450,0.9678285714285715,2
Dense_a,12.3,7748.2,330.312,24.48,305.832,,0.0279,25,450,0.9792000000000001,3
Dense_a,12.2,7630.3,329.87,24.754,305.116,,0.0278,25,450,0.99016,2
Dense_a,12.2,7622.1,331.426,24.964,306.462,,0.0277,25,450,0.9985599999999999,1
Dense_a,12.0,7230.4,282.258,10.0,272.258,,0.028,10,450,1.0,2
Dense_a,12.0,7197.5,281.72,10.0,271.72,,0.0281,10,450,1.0,3
Dense_a,11.9,7074.1,265.178,5.0,260.178,,0.0282,5,450,1.0,3
Dense_a,11.9,7080.2,264.794,5.0,259.794,,0.0282,5,450,1.0,2
Dense_a,12.1,7355.5,285.0,10.0,275.0,,0.028,10,450,1.0,1
Dense_a,11.9,7137.2,265.886,5.0,260.886,,0.0281,5,450,1.0,1
Dense_a,12.7,8617.4,307.204,0.0,307.204,,0.0288,0,500,0.0,3
Dense_a,12.7,8606.7,305.268,0.0,305.268,,0.0286,0,500,0.0,2
Dense_a,12.7,8618.0,306.62,0.0,306.62,,0.0287,0,500,0.0,1
Dense_a,10.3,4630.7,248.846,27.132,369.462,,0.0271,50,500,0.54264,2
Dense_a,10.3,4624.2,252.002,27.498,366.26,,0.0275,50,500,0.54996,3
Dense_a,11.7,6697.7,314.65,30.156,363.074,,0.0275,50,500,0.60312,1
Dense_a,12.1,7387.9,318.166,23.996,354.776,,0.0277,35,500,0.6856,1
Dense_a,13.0,9208.8,397.664,32.23,365.434,,0.0277,35,500,0.9208571428571428,2
Dense_a,13.1,9409.7,403.484,33.524,369.96,,0.0276,35,500,0.9578285714285715,3
Dense_a,13.1,9352.6,379.66,24.964,354.696,,0.0279,25,500,0.9985599999999999,2
Dense_a,12.9,8906.7,334.612,10.0,324.612,,0.0281,10,500,1.0,2
Dense_a,12.9,9052.1,334.994,10.0,324.994,,0.0279,10,500,1.0,3
Dense_a,12.8,8761.4,318.8,5.0,313.8,,0.0283,5,500,1.0,3
Dense_a,13.0,9254.2,379.442,25.0,354.442,,0.0277,25,500,1.0,1
Dense_a,12.8,8818.8,319.514,5.0,314.514,,0.0282,5,500,1.0,2
Dense_a,12.8,8806.2,331.826,10.0,321.826,,0.0281,10,500,1.0,1
Dense_a,13.0,9204.1,376.516,25.0,351.516,,0.0278,25,500,1.0,3
Dense_a,12.9,8923.5,322.634,5.0,317.634,,0.0282,5,500,1.0,1
Dense_a,18.4,25897.8,834.188,0.0,834.188,,0.0282,0,1000,0.0,1
Dense_a,18.3,25851.6,833.542,0.0,833.542,,0.0282,0,1000,0.0,3
Dense_a,18.3,25822.8,832.314,0.0,832.314,,0.0282,0,1000,0.0,2
Dense_a,17.8,23757.5,846.564,38.672,859.49,,0.0277,50,1000,0.7734399999999999,3
Dense_a,18.1,24661.0,874.882,42.032,862.918,,0.0276,50,1000,0.8406399999999999,2
Dense_a,18.0,24516.3,881.24,42.488,863.5459999999999,,0.0277,50,1000,0.84976,1
Dense_a,18.3,25846.8,839.268,5.0,834.268,,0.0281,5,1000,1.0,2
Dense_a,18.4,25937.2,840.362,5.0,835.362,,0.028,5,1000,1.0,3
Dense_a,18.4,25960.0,873.392,25.0,848.392,,0.0278,25,1000,1.0,2
Dense_a,18.3,25726.0,872.532,25.0,847.532,,0.0279,25,1000,1.0,3
Dense_a,18.4,25965.5,849.802,10.0,839.802,,0.028,10,1000,1.0,1
Dense_a,18.3,25871.9,892.502,35.0,857.502,,0.0277,35,1000,1.0,3
Dense_a,18.2,25206.4,891.344,35.0,856.344,,0.0279,35,1000,1.0,2
Dense_a,18.4,25895.3,840.862,5.0,835.862,,0.028,5,1000,1.0,1
Dense_a,18.3,25768.5,871.58,25.0,846.58,,0.0279,25,1000,1.0,1
Dense_a,18.3,25806.7,847.142,10.0,837.142,,0.028,10,1000,1.0,2
Dense_a,18.2,25302.9,887.26,35.0,852.26,,0.0278,35,1000,1.0,1
Dense_a,18.3,25834.9,847.862,10.0,837.862,,0.028,10,1000,1.0,3
Dense_a,26.4,77495.7,2349.714,0.0,2349.714,,0.0279,0,2500,0.0,3
Dense_a,26.5,77515.9,2351.018,0.0,2351.018,,0.0278,0,2500,0.0,2
Dense_a,26.5,77540.8,2351.964,0.0,2351.964,,0.0278,0,2500,0.0,1
Dense_a,26.3,76475.7,2408.0,48.858,2359.142,,0.0276,50,2500,0.9771599999999999,2
Dense_a,26.4,77204.6,2411.762,49.746,2362.016,,0.0276,50,2500,0.99492,1
Dense_a,26.4,77497.6,2377.494,25.0,2352.494,,0.0277,25,2500,1.0,1
Dense_a,26.5,77646.2,2361.27,10.0,2351.27,,0.0278,10,2500,1.0,2
Dense_a,26.4,77222.6,2393.256,35.0,2358.256,,0.0277,35,2500,1.0,1
Dense_a,26.5,77567.5,2361.542,10.0,2351.542,,0.0278,10,2500,1.0,3
Dense_a,26.5,77652.5,2356.226,5.0,2351.226,,0.0278,5,2500,1.0,1
Dense_a,26.4,77484.4,2378.454,25.0,2353.454,,0.0277,25,2500,1.0,2
Dense_a,26.5,77820.4,2379.87,25.0,2354.87,,0.0276,25,2500,1.0,3
Dense_a,26.5,77586.8,2361.918,10.0,2351.918,,0.0278,10,2500,1.0,1
Dense_a,26.4,77386.9,2392.418,35.0,2357.418,,0.0277,35,2500,1.0,3
Dense_a,26.4,77398.8,2393.682,35.0,2358.682,,0.0277,35,2500,1.0,2
Dense_a,26.5,77749.2,2357.738,5.0,2352.738,,0.0278,5,2500,1.0,2
Dense_a,26.4,77135.2,2411.918,50.0,2361.918,,0.0276,50,2500,1.0,3
Dense_a,26.5,77612.4,2356.816,5.0,2351.816,,0.0278,5,2500,1.0,3
Dense_a,34.0,164649.8,4860.654008438819,0.0,4860.654008438819,,0.0277,0,5000,0.0,2
Dense_a,34.0,165087.1,4859.807339449541,0.0,4859.807339449541,,0.0277,0,5000,0.0,3
Dense_a,34.0,164874.2,4858.888185654008,0.0,4858.888185654008,,0.0276,0,5000,0.0,1
Dense_a,34.0,164956.7,4914.673860911271,50.0,4864.673860911271,,0.0275,50,5000,1.0,1
Dense_a,34.0,165043.7,4864.2805907173,5.0,4859.2805907173,,0.0276,5,5000,1.0,1
Dense_a,34.0,165359.3,4886.764835164835,25.0,4861.764835164835,,0.0276,25,5000,1.0,1
Dense_a,34.1,165371.0,4871.358241758242,10.0,4861.358241758242,,0.0276,10,5000,1.0,3
Dense_a,34.0,164709.0,4895.702,35.0,4860.702,,0.0276,35,5000,1.0,1
Dense_a,34.0,164915.3,4870.839662447257,10.0,4860.839662447257,,0.0276,10,5000,1.0,2
Dense_a,34.0,164430.5,4865.105494505495,5.0,4860.105494505495,,0.0277,5,5000,1.0,3
Dense_a,34.0,164850.6,4914.584862385321,50.0,4864.584862385321,,0.0276,50,5000,1.0,3
Dense_a,34.0,164899.6,4865.835443037975,5.0,4860.835443037975,,0.0277,5,5000,1.0,2
