Phase,Size,Volume,N,N_mRNA,N_Protein,<mRNA>,<Protein>,NmRNA,NPro,N_mRNA/NmRNA,replicate
Dense_a,10.7,5136.7,194.878,0.0,194.878,,0.0291,0,400,0.0,1
Dense_a,10.8,5215.5,196.656,0.0,196.656,,0.0289,0,400,0.0,3
Dense_a,10.8,5209.5,197.246,0.0,197.246,,0.029,0,400,0.0,2
Dense_a,9.3,3411.5,194.106,23.296,285.00399999999996,,0.0267,50,400,0.46592,3
Dense_a,9.4,3497.8,178.246,18.566,271.596,,0.0268,35,400,0.5304571428571428,3
Dense_a,9.9,4054.8,233.088,27.882,286.156,,0.0271,50,400,0.55764,2
Dense_a,9.8,3946.3,209.778,21.552,271.062,,0.0272,35,400,0.6157714285714285,2
Dense_a,10.2,4399.9,225.374,22.06,271.448,,0.0275,35,400,0.6302857142857142,1
Dense_a,9.2,3304.6,263.63,33.556,287.736,,0.0263,50,400,0.6711199999999999,1
Dense_a,11.4,6283.4,292.284,24.062,268.222,,0.0273,25,400,0.96248,3
Dense_a,11.5,6399.2,297.208,24.562,272.646,,0.0277,25,400,0.98248,1
Dense_a,11.5,6448.9,295.746,24.832,270.914,,0.0274,25,400,0.99328,2
Dense_a,11.0,5631.7,217.55,5.0,212.55,,0.028,5,400,1.0,1
Dense_a,11.3,6013.4,242.996,10.0,232.996,,0.0279,10,400,1.0,1
Dense_a,11.1,5654.6,216.306,5.0,211.306,,0.0279,5,400,1.0,3
Dense_a,11.1,5727.5,220.838,5.0,215.838,,0.028,5,400,1.0,2
Dense_a,11.3,6015.9,241.876,10.0,231.876,,0.0279,10,400,1.0,3
Dense_a,11.3,6057.5,242.668,10.0,232.668,,0.0278,10,400,1.0,2
Dense_a,11.9,7096.5,256.968,0.0,256.968,,0.0287,0,450,0.0,1
Dense_a,12.0,7220.0,260.696,0.0,260.696,,0.0287,0,450,0.0,3
Dense_a,11.9,7072.8,256.624,0.0,256.624,,0.0288,0,450,0.0,2
Dense_a,8.9,2938.0,162.86,18.262,319.992,,0.0263,50,450,0.36524,2
Dense_a,9.6,3735.6,206.066,22.224,323.69000000000005,,0.0269,50,450,0.44448,1
Dense_a,11.0,5606.8,270.934,27.998,333.56600000000003,,0.0271,50,450,0.55996,3
Dense_a,11.0,5557.9,284.47,24.078,318.20799999999997,,0.0265,35,450,0.6879428571428571,1
Dense_a,12.1,7363.5,328.514,27.762,323.838,,0.0274,35,450,0.7932,3
Dense_a,12.2,7673.2,355.84,31.67,324.17,,0.0274,35,450,0.9048571428571429,2
Dense_a,12.4,8043.1,340.62,24.7,315.92,,0.0277,25,450,0.988,3
Dense_a,12.0,7253.7,342.012,24.986,317.026,,0.0279,25,450,0.99944,1
Dense_a,12.3,7852.7,342.226,25.0,317.226,,0.0277,25,450,1.0,2
Dense_a,12.2,7514.9,276.302,5.0,271.302,,0.028,5,450,1.0,1
Dense_a,12.2,7665.2,292.33,10.0,282.33,,0.0279,10,450,1.0,1
Dense_a,12.1,7372.5,271.904,5.0,266.904,,0.028,5,450,1.0,3
Dense_a,12.1,7386.6,273.886,5.0,268.886,,0.0281,5,450,1.0,2
Dense_a,12.2,7621.7,292.466,10.0,282.466,,0.028,10,450,1.0,3
Dense_a,12.2,7665.7,292.584,10.0,282.584,,0.0279,10,450,1.0,2
Dense_a,12.9,8938.8,314.212,0.0,314.212,,0.0285,0,500,0.0,1
Dense_a,12.9,8938.6,314.34,0.0,314.34,,0.0286,0,500,0.0,3
Dense_a,12.9,8895.4,314.642,0.0,314.642,,0.0287,0,500,0.0,2
Dense_a,10.8,5293.7,251.554,23.218,371.84,,0.0272,50,500,0.46436,1
Dense_a,11.5,6411.0,331.91,32.202,378.4980000000001,,0.0271,50,500,0.64404,3
Dense_a,11.3,6019.1,327.978,33.418,380.822,,0.0274,50,500,0.66836,2
Dense_a,12.6,8428.3,363.53,26.896,371.466,,0.0275,35,500,0.7684571428571428,3
Dense_a,13.1,9455.5,405.41,32.486,372.924,,0.0275,35,500,0.9281714285714285,2
Dense_a,11.4,6138.1,406.626,34.076,372.55,,0.0286,35,500,0.9736,1
Dense_a,13.0,9175.1,389.234,24.904,364.33,,0.0277,25,500,0.99616,2
Dense_a,13.2,9542.8,386.888,25.0,361.888,,0.0275,25,500,1.0,3
Dense_a,12.9,9058.9,327.746,5.0,322.746,,0.0282,5,500,1.0,1
Dense_a,13.0,9141.8,343.52,10.0,333.52,,0.0282,10,500,1.0,1
Dense_a,13.0,9211.3,328.618,5.0,323.618,,0.0281,5,500,1.0,3
Dense_a,13.0,9155.7,329.58,5.0,324.58,,0.0282,5,500,1.0,2
Dense_a,13.1,9470.9,389.594,25.0,364.594,,0.0277,25,500,1.0,1
Dense_a,13.0,9210.7,343.536,10.0,333.536,,0.0281,10,500,1.0,3
Dense_a,13.1,9357.7,345.986,10.0,335.986,,0.0279,10,500,1.0,2
Dense_a,18.4,26070.8,839.12,0.0,839.12,,0.0281,0,1000,0.0,2
Dense_a,18.4,26155.4,838.998,0.0,838.998,,0.0281,0,1000,0.0,3
Dense_a,18.4,26007.4,838.56,0.0,838.56,,0.0281,0,1000,0.0,1
Dense_a,17.3,21872.7,771.37,35.0,867.238,,0.0275,50,1000,0.7,2
Dense_a,18.1,24752.9,883.286,41.682,870.822,,0.0275,50,1000,0.83364,1
Dense_a,18.2,25093.0,883.008,41.93,869.53,,0.0274,50,1000,0.8386,3
Dense_a,18.2,25453.5,897.33,34.536,862.794,,0.0278,35,1000,0.9867428571428571,1
Dense_a,18.4,25896.3,900.492,34.902,865.59,,0.0277,35,1000,0.9972,3
