Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,0,400,0.439,1790.0,0.0,3.08,0.0,1.73,1035.8648254094549,0.0,175.552,1
a_fit /µM,0,400,0.434,1780.0,0.0,3.08,0.0,1.74,1021.2670275394293,0.0,173.412,2
a_fit /µM,0,400,0.441,1770.0,0.0,3.08,0.0,1.72,1029.4483508773012,0.0,176.47,3
a_fit /µM,0,450,0.526,1770.0,0.0,3.46,0.0,1.64,1078.7561508269494,0.0,236.642,1
a_fit /µM,0,450,0.537,1770.0,0.0,3.46,0.0,1.6,1103.2134611110405,0.0,241.512,2
a_fit /µM,0,450,0.534,1770.0,0.0,3.46,0.0,1.61,1094.0299346183083,0.0,240.286,3
a_fit /µM,0,500,0.593,1760.0,0.0,3.85,0.0,1.57,1122.5820530985222,0.0,296.348,1
a_fit /µM,0,500,0.598,1750.0,0.0,3.85,0.0,1.55,1133.9427452623788,0.0,299.142,2
a_fit /µM,0,500,0.597,1750.0,0.0,3.85,0.0,1.55,1126.057267756296,0.0,298.388,3
a_fit /µM,0,1000,0.827,1730.0,0.0,7.69,0.0,1.33,1293.8538323043665,0.0,827.1,2
a_fit /µM,0,1000,0.824,1730.0,0.0,7.69,0.0,1.35,1274.270342035928,0.0,824.392,3
a_fit /µM,0,1000,0.827,1730.0,0.0,7.69,0.0,1.33,1293.9471833635516,0.0,827.064,1
a_fit /µM,0,2500,0.937,1700.0,0.0,19.2,0.0,1.22,1391.232079267798,0.0,2342.486,1
a_fit /µM,0,2500,0.938,1710.0,0.0,19.2,0.0,1.2,1421.550455115747,0.0,2345.34,2
a_fit /µM,0,2500,0.938,1700.0,0.0,19.2,0.0,1.21,1408.7297499728577,0.0,2344.616,3
a_fit /µM,0,5000,0.971,1690.0,0.0,38.5,0.0,1.15,1467.0936102725625,0.0,4853.598944591029,1
a_fit /µM,0,5000,0.971,1690.0,0.0,38.5,0.0,1.13,1497.9300567300454,0.0,4856.29648241206,3
a_fit /µM,0,5000,0.971,1700.0,0.0,38.5,0.0,1.14,1484.1768221234468,0.0,4854.403693931398,2
a_fit /µM,5,400,0.496,1710.0,0.0385,3.08,0.0,1.57,1088.440601815361,5.0,195.756,1
a_fit /µM,5,400,0.483,1710.0,0.0385,3.08,0.0,1.61,1060.4478284106413,5.0,190.624,2
a_fit /µM,5,400,0.504,1730.0,0.0385,3.08,0.0,1.55,1120.2534250304795,5.0,199.124,3
a_fit /µM,5,450,0.561,1730.0,0.0385,3.46,0.0,1.54,1124.7937066919037,5.0,250.05,1
a_fit /µM,5,450,0.569,1720.0,0.0385,3.46,0.0,1.51,1137.2729844846924,5.0,253.844,2
a_fit /µM,5,450,0.565,1730.0,0.0385,3.46,0.0,1.52,1134.5668924221145,5.0,252.296,3
a_fit /µM,5,500,0.607,1720.0,0.0385,3.85,0.0,1.53,1124.1716764916823,5.0,301.298,1
a_fit /µM,5,500,0.621,1730.0,0.0385,3.85,0.0,1.47,1172.506695937422,5.0,308.546,2
a_fit /µM,5,500,0.618,1720.0,0.0385,3.85,0.0,1.49,1157.7218725961625,5.0,306.936,3
a_fit /µM,5,1000,0.827,1720.0,0.0385,7.69,0.0,1.35,1276.0198827522152,5.0,825.664,1
a_fit /µM,5,1000,0.828,1710.0,0.0385,7.69,0.0,1.33,1284.367839534858,5.0,827.068,3
a_fit /µM,5,1000,0.828,1710.0,0.0385,7.69,0.0,1.34,1282.8484324778358,5.0,826.894,2
a_fit /µM,5,2500,0.938,1700.0,0.0385,19.2,0.0,1.2,1410.4735277161767,5.0,2345.21,3
a_fit /µM,5,2500,0.938,1700.0,0.0385,19.2,0.0,1.2,1415.441900647897,5.0,2344.964,2
a_fit /µM,5,2500,0.938,1700.0,0.0385,19.2,0.0,1.2,1412.964636624569,5.0,2344.986,1
a_fit /µM,5,5000,0.971,1690.0,0.0385,38.5,0.0,1.15,1466.5645717704956,5.0,4853.538258575198,2
a_fit /µM,5,5000,0.971,1690.0,0.0385,38.5,0.0,1.14,1477.45300347083,5.0,4854.345646437995,3
a_fit /µM,5,5000,0.971,1690.0,0.0385,38.5,0.0,1.14,1477.6980403258383,5.0,4854.366754617415,1
a_fit /µM,10,400,0.544,1700.0,0.0769,3.08,0.0,1.44,1180.4115293557204,10.0,213.11,1
a_fit /µM,10,400,0.546,1730.0,0.0769,3.08,0.0,1.43,1207.77209058657,10.0,213.97,3
a_fit /µM,10,400,0.546,1710.0,0.0769,3.08,0.0,1.43,1195.4017212409324,10.0,213.708,2
a_fit /µM,10,450,0.592,1710.0,0.0769,3.46,0.0,1.44,1186.1105822482514,10.0,262.32,1
a_fit /µM,10,450,0.598,1710.0,0.0769,3.46,0.0,1.42,1201.920560042952,10.0,264.926,3
a_fit /µM,10,450,0.594,1720.0,0.0769,3.46,0.0,1.44,1194.6788558739656,10.0,263.294,2
a_fit /µM,10,500,0.642,1720.0,0.0769,3.85,0.0,1.41,1223.579620259569,10.0,317.256,1
a_fit /µM,10,500,0.641,1720.0,0.0769,3.85,0.0,1.41,1216.5450781045963,10.0,316.776,3
a_fit /µM,10,500,0.642,1720.0,0.0769,3.85,0.0,1.41,1222.3809397822229,10.0,317.454,2
a_fit /µM,10,1000,0.833,1720.0,0.0769,7.69,0.0,1.3,1316.4585103649863,10.0,831.07,2
a_fit /µM,10,1000,0.833,1720.0,0.0769,7.69,0.0,1.3,1317.85349726494,10.0,830.904,3
a_fit /µM,10,1000,0.832,1710.0,0.0769,7.69,0.0,1.31,1304.3469525250753,10.0,830.278,1
a_fit /µM,10,2500,0.938,1700.0,0.0769,19.2,0.0,1.21,1406.8358387822302,10.0,2344.134,1
a_fit /µM,10,2500,0.939,1700.0,0.0769,19.2,0.0,1.2,1418.2289074144196,10.0,2345.902,2
a_fit /µM,10,2500,0.938,1700.0,0.0769,19.2,0.0,1.21,1403.7299358800776,10.0,2343.946,3
a_fit /µM,10,5000,0.971,1690.0,0.0769,38.5,0.0,1.14,1483.3538295410622,10.0,4855.1926121372035,1
a_fit /µM,10,5000,0.971,1690.0,0.0769,38.5,0.0,1.16,1454.1620576995097,10.0,4852.284960422164,3
a_fit /µM,10,5000,0.97,1690.0,0.0769,38.5,0.0,1.16,1453.9333589207,10.0,4851.905013192612,2
a_fit /µM,25,400,0.65,1700.0,0.192,3.08,0.00186,1.14,1487.9157821304689,24.758,251.44,3
a_fit /µM,25,400,0.661,1710.0,0.192,3.08,0.0,1.11,1541.1262899678436,25.0,256.074,2
a_fit /µM,25,400,0.592,1700.0,0.192,3.08,0.032,1.18,1432.4406368421612,20.848,246.086,1
a_fit /µM,25,450,0.686,1710.0,0.192,3.46,0.00111,1.15,1494.794069134357,24.856,301.176,3
a_fit /µM,25,450,0.683,1690.0,0.192,3.46,0.0,1.16,1459.1097327876437,25.0,299.57,2
a_fit /µM,25,450,0.586,1710.0,0.192,3.46,0.0515,1.25,1369.2246022460736,18.304,288.02,1
a_fit /µM,25,500,0.705,1700.0,0.192,3.85,0.00188,1.19,1427.6332772074902,24.756,345.136,3
a_fit /µM,25,500,0.711,1700.0,0.192,3.85,0.0,1.17,1456.709939214484,25.0,348.15,2
a_fit /µM,25,500,0.712,1710.0,0.192,3.85,0.0,1.16,1467.9214032724478,25.0,348.924,1
a_fit /µM,25,1000,0.843,1710.0,0.192,7.69,0.0,1.24,1372.1017571274342,25.0,838.826,1
a_fit /µM,25,1000,0.844,1710.0,0.192,7.69,0.0,1.23,1382.4431093988117,25.0,840.118,2
