Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,0,400,0.483,1790.0,0.0,3.08,0.0,1.59,1124.8212605078957,0.0,193.23,3
a_fit /µM,0,400,0.491,1790.0,0.0,3.08,0.0,1.57,1142.5442253428434,0.0,196.366,2
a_fit /µM,0,400,0.477,1790.0,0.0,3.08,0.0,1.61,1111.1761455014714,0.0,190.888,1
a_fit /µM,0,450,0.57,1770.0,0.0,3.46,0.0,1.49,1189.0050816244186,0.0,256.462,3
a_fit /µM,0,450,0.569,1780.0,0.0,3.46,0.0,1.49,1193.007891401529,0.0,256.228,2
a_fit /µM,0,450,0.57,1770.0,0.0,3.46,0.0,1.49,1190.809467774685,0.0,256.694,1
a_fit /µM,0,500,0.623,1760.0,0.0,3.85,0.0,1.45,1214.0254724438682,0.0,311.488,3
a_fit /µM,0,500,0.626,1760.0,0.0,3.85,0.0,1.44,1223.1326119512169,0.0,313.188,2
a_fit /µM,0,500,0.624,1750.0,0.0,3.85,0.0,1.45,1212.077621393048,0.0,311.944,1
a_fit /µM,0,1000,0.838,1730.0,0.0,7.69,0.0,1.25,1382.9046539183814,0.0,837.822,2
a_fit /µM,0,1000,0.837,1730.0,0.0,7.69,0.0,1.26,1374.5699568336188,0.0,837.142,3
a_fit /µM,0,1000,0.836,1730.0,0.0,7.69,0.0,1.27,1368.64947056045,0.0,836.022,1
a_fit /µM,0,2500,0.942,1710.0,0.0,19.2,0.0,1.14,1505.919992880422,0.0,2353.798,1
a_fit /µM,0,2500,0.94,1710.0,0.0,19.2,0.0,1.16,1470.841292119481,0.0,2350.336,2
a_fit /µM,0,2500,0.942,1710.0,0.0,19.2,0.0,1.13,1512.23282149084,0.0,2354.08,3
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.06,1604.9091216482534,0.0,4865.273869346734,1
a_fit /µM,0,5000,0.972,1700.0,0.0,38.5,0.0,1.1,1541.4243263337305,0.0,4859.424460431655,3
a_fit /µM,0,5000,0.972,1700.0,0.0,38.5,0.0,1.08,1574.209415658897,0.0,4862.395778364116,2
