Phase,Size,Volume,N,N_mRNA,N_Protein,<mRNA>,<Protein>,NmRNA,NPro,N_mRNA/NmRNA,replicate
Dense_a,10.7,5065.8,193.23,0.0,193.23,,0.0291,0,400,0.0,3
Dense_a,10.7,5166.2,196.366,0.0,196.366,,0.0291,0,400,0.0,2
Dense_a,10.6,5018.4,190.888,0.0,190.888,,0.0291,0,400,0.0,1
Dense_a,10.3,4586.8,227.91,24.82,248.82,,0.0278,50,400,0.4964,2
Dense_a,10.7,5175.3,249.77,25.368,241.99399999999997,,0.028,50,400,0.5073599999999999,3
Dense_a,10.5,4883.8,266.18,29.22,236.96,,0.028,50,400,0.5844,1
Dense_a,11.4,6145.3,280.73,26.628,254.102,,0.028,35,400,0.7608,3
Dense_a,11.2,5825.2,283.246,27.992,255.254,,0.0278,35,400,0.7997714285714286,1
Dense_a,11.2,5825.2,283.246,27.992,255.254,,0.0278,35,400,0.7997714285714286,2
Dense_a,11.2,5847.9,264.958,21.81,243.148,,0.0281,25,400,0.8724,1
Dense_a,11.5,6347.4,273.494,22.528,250.966,,0.0278,25,400,0.9011199999999999,2
Dense_a,11.3,6031.0,271.408,23.944,247.464,,0.0278,25,400,0.95776,3
Dense_a,11.1,5689.7,230.924,9.84,221.084,,0.0283,10,400,0.984,1
Dense_a,10.9,5431.0,212.078,4.958,207.12,,0.0282,5,400,0.9916,1
Dense_a,11.0,5622.0,232.854,9.968,222.886,,0.0282,10,400,0.9968,2
Dense_a,10.9,5466.6,215.608,5.0,210.608,,0.0284,5,400,1.0,3
Dense_a,10.9,5493.8,215.028,5.0,210.028,,0.0282,5,400,1.0,2
Dense_a,11.1,5772.9,232.852,10.0,222.852,,0.0282,10,400,1.0,3
Dense_a,11.9,7009.7,256.462,0.0,256.462,,0.0288,0,450,0.0,3
Dense_a,11.9,6981.8,256.228,0.0,256.228,,0.0289,0,450,0.0,2
Dense_a,11.9,7016.3,256.694,0.0,256.694,,0.0288,0,450,0.0,1
Dense_a,12.0,7280.3,329.078,30.992,298.086,,0.0279,50,450,0.6198400000000001,1
Dense_a,11.9,6977.5,322.638,32.428,303.972,,0.0278,50,450,0.6485599999999999,2
Dense_a,12.0,7162.6,339.074,34.844,304.23,,0.0279,50,450,0.69688,3
Dense_a,12.2,7678.1,336.754,28.574,308.18,,0.0281,35,450,0.8164,2
Dense_a,12.2,7664.4,330.99,28.59,302.4,,0.0278,35,450,0.8168571428571428,3
Dense_a,12.2,7651.0,333.784,29.474,304.31,,0.028,35,450,0.8421142857142857,1
Dense_a,12.2,7650.8,319.952,23.394,296.558,,0.0281,25,450,0.9357599999999999,1
Dense_a,12.3,7727.1,325.774,23.718,302.056,,0.028,25,450,0.94872,3
Dense_a,12.3,7797.4,326.248,23.904,302.344,,0.028,25,450,0.95616,2
Dense_a,12.0,7231.5,279.118,9.794,269.324,,0.028,10,450,0.9794,3
Dense_a,12.1,7453.9,285.008,9.8,275.208,,0.028,10,450,0.9800000000000001,1
Dense_a,12.0,7228.3,270.558,4.986,265.572,,0.0283,5,450,0.9972,2
Dense_a,12.1,7467.7,286.01,9.976,276.034,,0.0281,10,450,0.9976,2
Dense_a,11.9,7096.1,265.624,5.0,260.624,,0.0283,5,450,1.0,3
Dense_a,12.0,7210.7,270.076,5.0,265.076,,0.0283,5,450,1.0,1
Dense_a,12.8,8764.4,311.488,0.0,311.488,,0.0286,0,500,0.0,3
Dense_a,12.8,8828.3,313.188,0.0,313.188,,0.0286,0,500,0.0,2
Dense_a,12.8,8823.5,311.944,0.0,311.944,,0.0285,0,500,0.0,1
Dense_a,12.5,8087.3,345.764,28.81,352.854,,0.0278,50,500,0.5761999999999999,3
Dense_a,12.7,8621.5,378.868,33.868,345.0,,0.0277,50,500,0.6773600000000001,2
Dense_a,12.8,8822.4,386.238,35.218,351.02,,0.0278,50,500,0.7043600000000001,1
Dense_a,13.0,9134.6,371.656,27.44,344.216,,0.0278,35,500,0.784,2
Dense_a,13.1,9411.9,387.842,30.544,357.298,,0.0279,35,500,0.8726857142857143,3
Dense_a,13.0,9194.4,385.926,30.59,355.336,,0.0278,35,500,0.874,1
Dense_a,13.1,9459.1,372.394,23.46,348.934,,0.0277,25,500,0.9384,3
Dense_a,13.1,9383.4,376.364,23.562,352.802,,0.028,25,500,0.9424800000000001,2
Dense_a,13.1,9318.0,374.302,24.236,350.066,,0.028,25,500,0.9694400000000001,1
Dense_a,12.9,9024.0,335.426,9.988,325.438,,0.0281,10,500,0.9987999999999999,2
Dense_a,12.9,8906.1,322.822,5.0,317.822,,0.0283,5,500,1.0,3
Dense_a,12.8,8864.1,322.778,5.0,317.778,,0.0283,5,500,1.0,2
Dense_a,13.0,9105.1,336.97,10.0,326.97,,0.0282,10,500,1.0,1
Dense_a,12.9,8924.3,333.464,10.0,323.464,,0.0281,10,500,1.0,3
Dense_a,12.8,8823.5,321.55,5.0,316.55,,0.0283,5,500,1.0,1
Dense_a,18.4,25998.3,837.822,0.0,837.822,,0.0281,0,1000,0.0,2
Dense_a,18.4,26083.3,837.142,0.0,837.142,,0.0281,0,1000,0.0,3
Dense_a,18.3,25844.8,836.022,0.0,836.022,,0.0281,0,1000,0.0,1
Dense_a,18.3,25816.2,899.03,43.576,855.454,,0.0277,50,1000,0.87152,2
Dense_a,18.3,25787.8,903.27,45.808,857.462,,0.0276,50,1000,0.91616,1
Dense_a,18.4,25974.1,906.01,45.91,860.1,,0.0277,50,1000,0.9181999999999999,3
Dense_a,18.3,25708.7,888.074,33.336,854.738,,0.0278,35,1000,0.9524571428571428,1
Dense_a,18.3,25516.4,885.186,34.18,851.006,,0.0278,35,1000,0.9765714285714285,2
Dense_a,18.4,25891.4,848.064,9.846,838.218,,0.0279,10,1000,0.9846,2
Dense_a,18.4,25897.4,889.862,34.6,855.262,,0.0278,35,1000,0.9885714285714287,3
Dense_a,18.3,25755.7,873.362,24.79,848.572,,0.0278,25,1000,0.9915999999999999,3
Dense_a,18.4,25906.7,841.658,4.958,836.7,,0.0279,5,1000,0.9916,2
Dense_a,18.4,26003.9,842.656,5.0,837.656,,0.028,5,1000,1.0,1
Dense_a,18.4,26099.3,875.57,25.0,850.57,,0.0279,25,1000,1.0,1
Dense_a,18.3,25807.5,848.16,10.0,838.16,,0.028,10,1000,1.0,3
Dense_a,18.4,26174.5,847.498,5.0,842.498,,0.028,5,1000,1.0,3
Dense_a,18.4,25910.5,872.678,25.0,847.678,,0.0278,25,1000,1.0,2
Dense_a,18.4,26071.7,852.512,10.0,842.512,,0.0279,10,1000,1.0,1
Dense_a,26.5,77569.1,2353.798,0.0,2353.798,,0.0278,0,2500,0.0,1
Dense_a,26.5,77590.2,2350.336,0.0,2350.336,,0.0278,0,2500,0.0,2
Dense_a,26.4,77402.8,2354.08,0.0,2354.08,,0.0279,0,2500,0.0,3
Dense_a,26.4,77361.5,2413.872,49.53,2364.342,,0.0275,50,2500,0.9906,2
Dense_a,26.5,77724.6,2382.246,24.916,2357.33,,0.0277,25,2500,0.99664,1
Dense_a,26.5,77513.5,2395.466,34.986,2360.48,,0.0277,35,2500,0.9995999999999999,3
Dense_a,26.5,77554.3,2407.994,49.99,2358.004,,0.0276,50,2500,0.9998,3
Dense_a,26.5,78001.7,2382.8,25.0,2357.8,,0.0276,25,2500,1.0,2
Dense_a,26.5,77654.9,2382.864,25.0,2357.864,,0.0277,25,2500,1.0,3
Dense_a,26.5,77682.4,2367.866,10.0,2357.866,,0.0278,10,2500,1.0,1
Dense_a,26.5,77930.5,2392.708,35.0,2357.708,,0.0276,35,2500,1.0,2
Dense_a,26.5,78068.1,2360.362,5.0,2355.362,,0.0277,5,2500,1.0,3
Dense_a,26.5,77802.9,2360.158,5.0,2355.158,,0.0277,5,2500,1.0,2
