Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,0,400,0.487,1790.0,0.0,3.08,0.0,1.58,1133.4990752227295,0.0,194.878,1
a_fit /µM,0,400,0.492,1780.0,0.0,3.08,0.0,1.56,1137.758886755572,0.0,196.656,3
a_fit /µM,0,400,0.493,1790.0,0.0,3.08,0.0,1.56,1145.3705609399478,0.0,197.246,2
a_fit /µM,0,450,0.571,1770.0,0.0,3.46,0.0,1.49,1190.365133994714,0.0,256.968,1
a_fit /µM,0,450,0.579,1770.0,0.0,3.46,0.0,1.46,1213.7626107200724,0.0,260.696,3
a_fit /µM,0,450,0.57,1770.0,0.0,3.46,0.0,1.49,1189.3824349258011,0.0,256.624,2
a_fit /µM,0,500,0.628,1760.0,0.0,3.85,0.0,1.43,1227.900568977085,0.0,314.212,1
a_fit /µM,0,500,0.629,1760.0,0.0,3.85,0.0,1.43,1229.7447247340403,0.0,314.34,3
a_fit /µM,0,500,0.629,1760.0,0.0,3.85,0.0,1.43,1236.7831272809256,0.0,314.642,2
a_fit /µM,0,1000,0.839,1730.0,0.0,7.69,0.0,1.24,1394.280263464383,0.0,839.12,2
a_fit /µM,0,1000,0.839,1730.0,0.0,7.69,0.0,1.24,1392.8298833524336,0.0,838.998,3
a_fit /µM,0,1000,0.839,1730.0,0.0,7.69,0.0,1.25,1388.5580428189053,0.0,838.56,1
a_fit /µM,0,2500,0.943,1700.0,0.0,19.2,0.0,1.1,1546.2930755058228,0.0,2358.11,1
a_fit /µM,0,2500,0.943,1710.0,0.0,19.2,0.0,1.11,1538.2903572150435,0.0,2357.114,2
a_fit /µM,0,2500,0.943,1710.0,0.0,19.2,0.0,1.11,1540.2982680915975,0.0,2357.212,3
a_fit /µM,0,5000,0.973,1690.0,0.0,38.5,0.0,1.06,1594.8756948248088,0.0,4864.752777777778,1
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.04,1629.2548368840992,0.0,4867.236111111111,3
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.05,1611.3476075685762,0.0,4865.669444444445,2
