Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,0,400,0.491,1780.0,0.0,3.08,0.0,1.57,1134.4941479304173,0.0,196.212,2
a_fit /µM,0,400,0.493,1780.0,0.0,3.08,0.0,1.56,1140.7118100493672,0.0,197.216,3
a_fit /µM,0,400,0.483,1780.0,0.0,3.08,0.0,1.59,1121.5717858056926,0.0,193.246,1
a_fit /µM,0,450,0.568,1780.0,0.0,3.46,0.0,1.5,1188.2894128682092,0.0,255.648,2
a_fit /µM,0,450,0.574,1770.0,0.0,3.46,0.0,1.48,1198.898277187158,0.0,258.222,3
a_fit /µM,0,450,0.576,1770.0,0.0,3.46,0.0,1.47,1208.121287340175,0.0,259.374,1
a_fit /µM,0,500,0.628,1770.0,0.0,3.85,0.0,1.43,1237.2582145590657,0.0,313.876,2
a_fit /µM,0,500,0.624,1760.0,0.0,3.85,0.0,1.45,1217.2227459837752,0.0,312.036,3
a_fit /µM,0,500,0.621,1760.0,0.0,3.85,0.0,1.46,1211.0581932710595,0.0,310.724,1
a_fit /µM,0,1000,0.838,1730.0,0.0,7.69,0.0,1.25,1380.733392790367,0.0,837.58,2
a_fit /µM,0,1000,0.839,1730.0,0.0,7.69,0.0,1.24,1395.9136435388418,0.0,839.074,3
a_fit /µM,0,1000,0.837,1730.0,0.0,7.69,0.0,1.26,1374.7471164291226,0.0,836.774,1
a_fit /µM,0,2500,0.942,1710.0,0.0,19.2,0.0,1.13,1504.3326370047178,0.0,2354.032,1
a_fit /µM,0,2500,0.942,1710.0,0.0,19.2,0.0,1.13,1503.767274530849,0.0,2353.948,2
a_fit /µM,0,2500,0.941,1710.0,0.0,19.2,0.0,1.14,1496.63719382285,0.0,2352.932,3
a_fit /µM,0,5000,0.973,1690.0,0.0,38.5,0.0,1.06,1598.2661760471292,0.0,4865.0361111111115,1
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.07,1598.5170430982205,0.0,4864.300791556729,3
a_fit /µM,0,5000,0.972,1700.0,0.0,38.5,0.0,1.08,1568.5506888584162,0.0,4862.108333333334,2
a_fit /µM,5,400,0.542,1730.0,0.0385,3.08,0.0,1.43,1210.3365819472583,5.0,214.586,2
a_fit /µM,5,400,0.532,1730.0,0.0385,3.08,0.0,1.46,1182.9679950531602,5.0,210.306,3
a_fit /µM,5,400,0.537,1720.0,0.0385,3.08,0.0,1.44,1193.443664987704,5.0,212.58,1
a_fit /µM,5,450,0.59,1720.0,0.0385,3.46,0.0,1.44,1197.2529216500604,5.0,263.498,2
a_fit /µM,5,450,0.595,1740.0,0.0385,3.46,0.0,1.42,1224.691526981272,5.0,265.9,3
a_fit /µM,5,450,0.593,1730.0,0.0385,3.46,0.0,1.42,1212.3829453089654,5.0,264.886,1
a_fit /µM,5,500,0.653,1720.0,0.0385,3.85,0.0,1.35,1272.94543702151,5.0,324.876,2
a_fit /µM,5,500,0.652,1730.0,0.0385,3.85,0.0,1.35,1278.8123675945312,5.0,324.476,3
a_fit /µM,5,500,0.648,1740.0,0.0385,3.85,0.0,1.37,1267.2488232912704,5.0,322.158,1
a_fit /µM,5,1000,0.84,1720.0,0.0385,7.69,0.0,1.24,1392.324069495809,5.0,839.688,1
