Seq,NmRNA,Mean_t_nuc,SE_t_nuc
1,0,0.26312280116861586,0.058836046984318616
1,1,0.11246041006834473,0.025146912169032056
2,0,0.10121686947824637,0.022632780062308254
2,1,0.0693698949824971,0.01551158007728851
3,0,0.11561093515585928,0.025851390995082157
3,1,0.10214202367061176,0.02283965082868805
4,0,0.7009918319719953,0.1567465387961492
4,1,0.20696782797132854,0.0462794132499373
5,0,0.15962660443407234,0.03569359385320551
5,1,0.05536756126021003,0.012380563072621354
