Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,0,400,0.439,1780.0,0.0,3.08,0.0,1.73,1029.2236732436963,0.0,175.622,1
a_fit /µM,0,400,0.431,1780.0,0.0,3.08,0.0,1.75,1016.5814541753952,0.0,172.218,2
a_fit /µM,0,400,0.437,1770.0,0.0,3.08,0.0,1.73,1022.3689550831372,0.0,174.612,3
a_fit /µM,0,450,0.537,1760.0,0.0,3.46,0.0,1.6,1099.324141422933,0.0,241.72,1
a_fit /µM,0,450,0.523,1770.0,0.0,3.46,0.0,1.65,1069.6617734614003,0.0,235.402,2
a_fit /µM,0,450,0.534,1770.0,0.0,3.46,0.0,1.62,1097.4176083843204,0.0,240.142,3
a_fit /µM,0,500,0.597,1750.0,0.0,3.85,0.0,1.55,1127.2129248736635,0.0,298.46,1
a_fit /µM,0,500,0.596,1760.0,0.0,3.85,0.0,1.56,1133.992213033075,0.0,297.942,2
a_fit /µM,0,500,0.594,1760.0,0.0,3.85,0.0,1.56,1124.5665099042214,0.0,297.17,3
a_fit /µM,0,1000,0.826,1720.0,0.0,7.69,0.0,1.35,1279.0695056538575,0.0,825.678,2
a_fit /µM,0,1000,0.827,1730.0,0.0,7.69,0.0,1.33,1298.6671487438753,0.0,827.412,3
a_fit /µM,0,1000,0.826,1730.0,0.0,7.69,0.0,1.35,1282.2266693897363,0.0,825.528,1
a_fit /µM,0,2500,0.937,1700.0,0.0,19.2,0.0,1.22,1391.5986065001605,0.0,2342.834,1
a_fit /µM,0,2500,0.937,1700.0,0.0,19.2,0.0,1.22,1394.270585337885,0.0,2343.04,2
a_fit /µM,0,2500,0.937,1700.0,0.0,19.2,0.0,1.21,1403.0776817000285,0.0,2343.738,3
a_fit /µM,0,5000,0.97,1700.0,0.0,38.5,0.0,1.16,1459.9257766220896,0.0,4852.193467336683,1
a_fit /µM,0,5000,0.971,1690.0,0.0,38.5,0.0,1.13,1495.774595648334,0.0,4856.26618705036,3
a_fit /µM,0,5000,0.971,1690.0,0.0,38.5,0.0,1.13,1501.8208515664048,0.0,4856.570351758794,2
a_fit /µM,5,400,0.437,1780.0,0.0385,3.08,0.0236,1.73,1026.030819366947,1.94,174.9,1
a_fit /µM,5,400,0.437,1770.0,0.0385,3.08,0.0204,1.73,1018.9502610678838,2.348,174.782,2
a_fit /µM,5,400,0.452,1770.0,0.0385,3.08,0.0189,1.69,1045.7293176593316,2.54,180.574,3
a_fit /µM,5,450,0.535,1760.0,0.0385,3.46,0.0181,1.61,1095.7664438610211,2.648,240.972,1
a_fit /µM,5,450,0.531,1760.0,0.0385,3.46,0.0182,1.63,1081.9717777361002,2.63,238.898,2
a_fit /µM,5,450,0.54,1760.0,0.0385,3.46,0.0167,1.59,1103.985106353164,2.83,243.088,3
a_fit /µM,5,500,0.604,1760.0,0.0385,3.85,0.0168,1.52,1153.2832646841816,2.812,302.384,1
a_fit /µM,5,500,0.595,1760.0,0.0385,3.85,0.0172,1.56,1128.9630895627122,2.76,297.86,2
a_fit /µM,5,500,0.6,1750.0,0.0385,3.85,0.0161,1.54,1136.635732225585,2.906,300.268,3
a_fit /µM,5,1000,0.826,1720.0,0.0385,7.69,0.00885,1.34,1284.0202299542136,3.854,826.168,1
a_fit /µM,5,1000,0.826,1720.0,0.0385,7.69,0.00875,1.34,1284.2723127482832,3.866,826.266,3
a_fit /µM,5,1000,0.825,1730.0,0.0385,7.69,0.0073,1.35,1278.2108741597008,4.054,825.148,2
a_fit /µM,5,2500,0.936,1700.0,0.0385,19.2,0.00597,1.24,1374.418592924686,4.232,2340.944,3
a_fit /µM,5,2500,0.938,1700.0,0.0385,19.2,0.00398,1.21,1407.2260177346384,4.488,2344.254,2
a_fit /µM,5,2500,0.938,1700.0,0.0385,19.2,0.00182,1.21,1410.1192143204926,4.766,2344.556,1
a_fit /µM,5,5000,0.971,1690.0,0.0385,38.5,0.00253,1.13,1503.4994586229664,4.678100263852243,4856.85488126649,2
a_fit /µM,5,5000,0.972,1690.0,0.0385,38.5,0.0016,1.12,1506.781361200272,4.796482412060302,4857.64824120603,3
a_fit /µM,5,5000,0.971,1690.0,0.0385,38.5,0.00251,1.15,1465.4467013479632,4.680738786279683,4853.7414248021105,1
a_fit /µM,10,400,0.455,1760.0,0.0769,3.08,0.045,1.68,1050.7392005164008,4.15,182.294,1
a_fit /µM,10,400,0.454,1760.0,0.0769,3.08,0.0469,1.68,1051.765381272931,3.902,182.224,3
a_fit /µM,10,400,0.454,1780.0,0.0769,3.08,0.0473,1.68,1059.7309697700755,3.856,182.148,2
a_fit /µM,10,450,0.534,1750.0,0.0769,3.46,0.0438,1.61,1089.592188031973,4.312,241.476,1
a_fit /µM,10,450,0.539,1750.0,0.0769,3.46,0.0378,1.59,1100.2737265583146,5.096,242.93,3
a_fit /µM,10,450,0.531,1760.0,0.0769,3.46,0.0464,1.61,1088.7889718369445,3.976,240.31,2
a_fit /µM,10,500,0.6,1750.0,0.0769,3.85,0.038,1.53,1139.477863489734,5.064,300.996,1
a_fit /µM,10,500,0.603,1750.0,0.0769,3.85,0.0377,1.52,1152.0455707054691,5.11,302.494,3
a_fit /µM,10,500,0.604,1760.0,0.0769,3.85,0.0377,1.52,1156.7931985319187,5.11,302.976,2
a_fit /µM,10,1000,0.829,1720.0,0.0769,7.69,0.0175,1.31,1308.3241132216567,7.73,829.706,2
a_fit /µM,10,1000,0.827,1730.0,0.0769,7.69,0.0166,1.33,1297.9741056959356,7.844,827.828,3
a_fit /µM,10,1000,0.824,1720.0,0.0769,7.69,0.0228,1.35,1272.695987225453,7.042,824.924,1
a_fit /µM,10,2500,0.937,1700.0,0.0769,19.2,0.00879,1.22,1401.1933540891068,8.87,2343.598,1
a_fit /µM,10,2500,0.937,1700.0,0.0769,19.2,0.012,1.22,1399.5539713605292,8.46,2343.66,2
a_fit /µM,10,2500,0.939,1700.0,0.0769,19.2,0.0086,1.18,1440.2515922943749,8.894,2347.82,3
a_fit /µM,10,5000,0.97,1690.0,0.0769,38.5,0.00691,1.16,1449.1399059553498,9.121372031662268,4852.176781002639,1
a_fit /µM,10,5000,0.971,1690.0,0.0769,38.5,0.00517,1.13,1487.6980696800151,9.343007915567282,4855.865435356201,3
a_fit /µM,10,5000,0.971,1700.0,0.0769,38.5,0.00629,1.13,1497.0460370804208,9.201005025125628,4856.035175879397,2
a_fit /µM,25,400,0.455,1760.0,0.192,3.08,0.135,1.65,1067.6790656794487,7.424,186.022,3
a_fit /µM,25,400,0.456,1750.0,0.192,3.08,0.137,1.64,1066.781711009964,7.174,186.656,2
a_fit /µM,25,400,0.443,1750.0,0.192,3.08,0.141,1.68,1041.9626223149728,6.74,181.606,1
a_fit /µM,25,450,0.529,1750.0,0.192,3.46,0.126,1.6,1097.558893405751,8.644,242.674,3
a_fit /µM,25,450,0.53,1750.0,0.192,3.46,0.132,1.58,1104.4444017861642,7.84,244.122,2
a_fit /µM,25,450,0.532,1760.0,0.192,3.46,0.13,1.58,1110.5021429218998,8.118,244.604,1
a_fit /µM,25,500,0.593,1740.0,0.192,3.85,0.12,1.53,1142.316222871494,9.354,301.712,3
a_fit /µM,25,500,0.593,1740.0,0.192,3.85,0.125,1.52,1144.8731548560197,8.8,302.522,2
a_fit /µM,25,500,0.584,1750.0,0.192,3.85,0.123,1.56,1120.4820599476598,9.0,297.574,1
a_fit /µM,25,1000,0.82,1720.0,0.192,7.69,0.0778,1.34,1279.5355827815345,14.92,825.918,1
a_fit /µM,25,1000,0.823,1710.0,0.192,7.69,0.0715,1.33,1292.2147196527017,15.736,828.186,2
a_fit /µM,25,1000,0.823,1720.0,0.192,7.69,0.0708,1.33,1294.0124657620977,15.828,828.14,3
a_fit /µM,25,2500,0.936,1700.0,0.192,19.2,0.0357,1.21,1400.403733298191,20.402,2344.116,2
a_fit /µM,25,2500,0.936,1700.0,0.192,19.2,0.0376,1.22,1398.7600682320908,20.166,2343.376,3
a_fit /µM,25,2500,0.937,1700.0,0.192,19.2,0.0311,1.21,1407.7233083190297,20.996,2344.946,1
