Phase,Size,Volume,N,N_mRNA,N_Protein,<mRNA>,<Protein>,NmRNA,NPro,N_mRNA/NmRNA,replicate
Dense_a,11.7,6768.5,196.11,0.0,196.11,,0.0289,0,400,0.0,2
Dense_a,11.6,6521.2,190.842,0.0,190.842,,0.0292,0,400,0.0,3
Dense_a,11.7,6781.8,196.948,0.0,196.948,,0.0289,0,400,0.0,1
Dense_a,11.8,6946.3,219.506,14.89,204.616,,0.0283,50,400,0.2978,1
Dense_a,11.9,7036.5,223.052,15.756,207.296,,0.0284,50,400,0.31512,2
Dense_a,11.9,7018.5,228.834,17.044,211.79,,0.0283,50,400,0.34088,3
Dense_a,11.0,5507.8,223.498,13.674,209.824,,0.0285,35,400,0.39068571428571425,1
Dense_a,10.8,5270.0,219.646,14.312,205.334,,0.0284,35,400,0.4089142857142857,3
Dense_a,11.1,5774.3,230.674,14.612,216.062,,0.0282,35,400,0.4174857142857143,2
Dense_a,12.0,7151.8,220.376,11.434,208.942,,0.0284,25,400,0.45736,2
Dense_a,12.0,7152.0,222.388,11.966,210.422,,0.0285,25,400,0.47863999999999995,3
Dense_a,11.9,7046.0,220.24,12.232,208.008,,0.0284,25,400,0.48928,1
Dense_a,11.8,6863.1,208.51,6.32,202.19,,0.0287,10,400,0.632,3
Dense_a,11.9,7039.3,212.688,6.718,205.97,,0.0287,10,400,0.6718,1
Dense_a,11.9,7098.0,213.14,7.126,206.014,,0.0284,10,400,0.7126,2
Dense_a,11.8,6901.9,204.274,3.602,200.672,,0.0287,5,400,0.7203999999999999,3
Dense_a,11.8,6959.4,206.556,3.606,202.95,,0.0288,5,400,0.7212,1
Dense_a,11.8,6919.8,204.828,3.61,201.218,,0.0287,5,400,0.722,2
Dense_a,12.9,8989.4,256.08,0.0,256.08,,0.0287,0,450,0.0,2
Dense_a,12.8,8872.6,254.674,0.0,254.674,,0.0289,0,450,0.0,3
Dense_a,12.9,8924.4,253.664,0.0,253.664,,0.0287,0,450,0.0,1
Dense_a,12.9,8975.7,277.902,17.034,260.868,,0.0282,50,450,0.34068,3
Dense_a,12.8,8714.5,275.574,17.572,258.002,,0.0283,50,450,0.35144,1
Dense_a,13.0,9274.4,284.748,18.784,265.964,,0.0281,50,450,0.37567999999999996,2
Dense_a,12.0,7254.6,281.192,14.844,266.348,,0.0282,35,450,0.4241142857142857,2
Dense_a,12.1,7362.7,286.318,15.624,270.694,,0.0283,35,450,0.4464,1
Dense_a,12.1,7397.5,288.392,16.46,271.932,,0.0283,35,450,0.4702857142857143,3
Dense_a,13.0,9154.1,277.598,12.6,264.998,,0.0284,25,450,0.504,3
Dense_a,13.0,9183.4,278.502,13.296,265.206,,0.0284,25,450,0.53184,2
Dense_a,13.0,9159.9,279.532,13.65,265.882,,0.0285,25,450,0.546,1
Dense_a,13.0,9149.3,268.034,6.494,261.54,,0.0285,10,450,0.6494,2
Dense_a,13.0,9151.5,269.028,6.526,262.502,,0.0285,10,450,0.6526,1
Dense_a,12.9,9054.7,268.266,7.086,261.18,,0.0285,10,450,0.7086,3
Dense_a,12.9,9070.8,264.668,4.0,260.668,,0.0287,5,450,0.8,1
Dense_a,12.9,9018.6,262.686,4.204,258.482,,0.0286,5,450,0.8408,3
Dense_a,12.9,9058.8,265.116,4.446,260.67,,0.0286,5,450,0.8892,2
Dense_a,13.8,11008.0,313.056,0.0,313.056,,0.0287,0,500,0.0,2
Dense_a,13.8,11091.4,313.084,0.0,313.084,,0.0286,0,500,0.0,3
Dense_a,13.9,11146.7,315.414,0.0,315.414,,0.0286,0,500,0.0,1
Dense_a,13.9,11218.5,342.582,20.098,322.484,,0.0283,50,500,0.40196,1
Dense_a,13.9,11144.7,341.36,20.284,321.076,,0.0282,50,500,0.40568,2
Dense_a,13.9,11328.6,345.458,21.05,324.408,,0.0281,50,500,0.42100000000000004,3
Dense_a,12.9,9024.0,337.838,17.078,320.76,,0.0281,35,500,0.4879428571428571,2
Dense_a,12.9,9025.9,343.858,17.498,326.36,,0.0283,35,500,0.4999428571428572,3
Dense_a,12.9,9004.8,341.58,17.884,323.696,,0.0281,35,500,0.5109714285714286,1
Dense_a,13.9,11272.2,335.674,13.574,322.1,,0.0284,25,500,0.54296,3
Dense_a,13.9,11146.1,333.85,13.722,320.128,,0.0284,25,500,0.54888,2
Dense_a,13.9,11353.4,336.932,15.208,321.724,,0.0282,25,500,0.60832,1
Dense_a,13.8,11096.5,326.022,7.784,318.238,,0.0285,10,500,0.7784,1
Dense_a,13.9,11225.3,326.672,7.926,318.746,,0.0284,10,500,0.7926,3
Dense_a,13.9,11132.3,319.614,4.054,315.56,,0.0285,5,500,0.8108000000000001,3
Dense_a,13.9,11175.4,325.294,8.186,317.108,,0.0284,10,500,0.8186,2
Dense_a,13.9,11209.7,320.652,4.148,316.504,,0.0285,5,500,0.8295999999999999,1
Dense_a,13.9,11137.1,321.208,4.252,316.956,,0.0285,5,500,0.8503999999999999,2
Dense_a,19.4,30391.6,837.354,0.0,837.354,,0.0281,0,1000,0.0,2
Dense_a,19.4,30631.7,839.536,0.0,839.536,,0.0281,0,1000,0.0,3
Dense_a,19.4,30395.8,838.144,0.0,838.144,,0.0282,0,1000,0.0,1
Dense_a,19.3,30315.0,865.026,30.386,834.64,,0.0278,50,1000,0.60772,2
Dense_a,19.4,30548.6,873.02,30.656,842.364,,0.0279,50,1000,0.61312,1
Dense_a,19.3,30134.9,873.88,31.642,842.238,,0.0279,50,1000,0.63284,3
Dense_a,18.4,25989.7,861.822,24.358,837.464,,0.028,35,1000,0.6959428571428572,3
Dense_a,18.3,25756.8,867.968,25.536,842.432,,0.0279,35,1000,0.7296,1
Dense_a,18.4,26077.0,869.532,26.24,843.292,,0.028,35,1000,0.7497142857142857,2
Dense_a,19.4,30380.8,860.294,19.68,840.614,,0.028,25,1000,0.7872,3
Dense_a,19.4,30615.6,862.66,21.01,841.65,,0.0278,25,1000,0.8404,1
Dense_a,19.4,30471.5,848.692,8.766,839.926,,0.0281,10,1000,0.8766,2
Dense_a,19.4,30600.7,864.344,21.922,842.422,,0.028,25,1000,0.87688,2
Dense_a,19.4,30359.7,847.576,8.89,838.686,,0.0282,10,1000,0.889,1
Dense_a,19.4,30453.8,844.432,4.526,839.906,,0.0282,5,1000,0.9052,2
Dense_a,19.4,30421.8,847.666,9.062,838.604,,0.028,10,1000,0.9061999999999999,3
Dense_a,19.4,30505.0,841.816,4.616,837.2,,0.028,5,1000,0.9231999999999999,3
Dense_a,19.4,30585.5,842.206,4.676,837.53,,0.0281,5,1000,0.9352,1
Dense_a,27.5,86808.8,2354.66,0.0,2354.66,,0.0278,0,2500,0.0,1
Dense_a,27.5,86959.1,2355.524,0.0,2355.524,,0.0277,0,2500,0.0,2
Dense_a,27.5,86725.9,2353.528,0.0,2353.528,,0.0278,0,2500,0.0,3
Dense_a,27.5,86918.8,2399.64,43.268,2356.372,,0.0276,50,2500,0.86536,1
Dense_a,27.5,86997.0,2397.698,43.608,2354.09,,0.0277,50,2500,0.8721599999999999,3
Dense_a,27.5,86886.4,2402.152,44.586,2357.566,,0.0277,50,2500,0.89172,2
Dense_a,26.4,77451.9,2385.154,31.746,2353.408,,0.0277,35,2500,0.9070285714285714,2
Dense_a,27.5,86719.1,2377.13,23.272,2353.858,,0.0277,25,2500,0.9308799999999999,3
Dense_a,26.5,78119.5,2388.388,32.634,2355.754,,0.0276,35,2500,0.9324,1
