Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,0,400,0.504,1770.0,0.0,3.08,0.0,1.53,1162.3125865914922,0.0,201.782,1
a_fit /µM,0,400,0.488,1780.0,0.0,3.08,0.0,1.58,1132.371376503986,0.0,195.33,3
a_fit /µM,0,400,0.496,1780.0,0.0,3.08,0.0,1.55,1148.66485434714,0.0,198.338,2
a_fit /µM,0,450,0.57,1770.0,0.0,3.46,0.0,1.49,1187.6303456164403,0.0,256.454,1
a_fit /µM,0,450,0.575,1770.0,0.0,3.46,0.0,1.47,1202.7425699061855,0.0,258.66,3
a_fit /µM,0,450,0.569,1770.0,0.0,3.46,0.0,1.49,1182.8537582797296,0.0,256.016,2
a_fit /µM,0,500,0.63,1760.0,0.0,3.85,0.0,1.42,1233.0541519826638,0.0,315.096,1
a_fit /µM,0,500,0.629,1760.0,0.0,3.85,0.0,1.43,1230.5653742166426,0.0,314.254,3
a_fit /µM,0,500,0.629,1760.0,0.0,3.85,0.0,1.43,1231.7361533625542,0.0,314.484,2
a_fit /µM,0,1000,0.84,1730.0,0.0,7.69,0.0,1.24,1399.0327651583457,0.0,839.7,2
a_fit /µM,0,1000,0.839,1720.0,0.0,7.69,0.0,1.24,1389.360627763789,0.0,839.19,3
a_fit /µM,0,1000,0.84,1730.0,0.0,7.69,0.0,1.24,1397.456142381878,0.0,839.868,1
a_fit /µM,0,2500,0.942,1710.0,0.0,19.2,0.0,1.13,1516.1480595669093,0.0,2354.898,1
a_fit /µM,0,2500,0.944,1710.0,0.0,19.2,0.0,1.1,1553.4164987907322,0.0,2358.816,2
a_fit /µM,0,2500,0.943,1710.0,0.0,19.2,0.0,1.11,1536.1560070199423,0.0,2357.092,3
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.07,1585.135092143148,0.0,4863.519061583578,1
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.08,1580.736435788009,0.0,4863.22691292876,3
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.05,1610.0302993048906,0.0,4866.027777777777,2
a_fit /µM,5,400,0.502,1770.0,0.0385,3.08,0.0169,1.53,1155.1620617609926,2.798,200.644,1
a_fit /µM,5,400,0.495,1780.0,0.0385,3.08,0.0139,1.56,1138.64982396109,3.194,197.342,3
a_fit /µM,5,400,0.497,1760.0,0.0385,3.08,0.0169,1.55,1137.3879327883794,2.806,198.47,2
a_fit /µM,5,450,0.587,1760.0,0.0385,3.46,0.0151,1.43,1229.2036800039236,3.044,263.93,1
a_fit /µM,5,450,0.582,1760.0,0.0385,3.46,0.0124,1.45,1212.1467360662634,3.394,261.444,3
a_fit /µM,5,450,0.573,1760.0,0.0385,3.46,0.0154,1.48,1191.381342465181,3.004,257.768,2
a_fit /µM,5,500,0.633,1750.0,0.0385,3.85,0.014,1.41,1242.512629879162,3.182,316.654,1
a_fit /µM,5,500,0.632,1760.0,0.0385,3.85,0.0106,1.42,1234.7882941342564,3.624,315.326,3
a_fit /µM,5,500,0.636,1760.0,0.0385,3.85,0.0105,1.4,1250.46527480757,3.632,317.652,2
a_fit /µM,5,1000,0.841,1730.0,0.0385,7.69,0.00684,1.23,1408.507724510336,4.114,841.23,1
a_fit /µM,5,1000,0.838,1730.0,0.0385,7.69,0.00886,1.25,1384.2451227442227,3.852,838.354,3
a_fit /µM,5,1000,0.842,1730.0,0.0385,7.69,0.00652,1.22,1416.5007166738474,4.156,841.898,2
a_fit /µM,5,2500,0.944,1710.0,0.0385,19.2,0.00411,1.09,1560.0969195853013,4.472,2359.172,3
a_fit /µM,5,2500,0.943,1710.0,0.0385,19.2,0.0037,1.11,1544.9321785943164,4.524,2357.72,2
a_fit /µM,5,2500,0.942,1710.0,0.0385,19.2,0.00412,1.12,1525.6147637369909,4.47,2355.718,1
a_fit /µM,5,5000,0.973,1670.0,0.0385,38.5,0.000197,1.06,1578.5788816095255,4.975,4865.319444444444,2
a_fit /µM,5,5000,0.973,1700.0,0.0385,38.5,0.00304,1.06,1607.1042935203827,4.613065326633166,4865.798994974874,3
a_fit /µM,5,5000,0.973,1700.0,0.0385,38.5,0.00127,1.05,1623.4783689994692,4.838709677419355,4867.052785923754,1
a_fit /µM,10,400,0.512,1770.0,0.0769,3.08,0.0379,1.5,1179.6569753871647,5.07,204.726,1
a_fit /µM,10,400,0.505,1770.0,0.0769,3.08,0.0377,1.52,1164.0591346718072,5.098,201.934,3
a_fit /µM,10,400,0.512,1770.0,0.0769,3.08,0.0374,1.5,1174.2703825059605,5.142,204.662,2
a_fit /µM,10,450,0.578,1760.0,0.0769,3.46,0.0316,1.46,1205.1311913322895,5.902,260.062,1
a_fit /µM,10,450,0.578,1760.0,0.0769,3.46,0.0301,1.47,1199.971601443,6.09,259.718,3
a_fit /µM,10,450,0.583,1750.0,0.0769,3.46,0.0321,1.45,1212.8903352491004,5.832,262.166,2
a_fit /µM,10,500,0.638,1750.0,0.0769,3.85,0.0278,1.4,1252.3375267683568,6.392,318.756,1
