Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,0,400,0.487,1800.0,0.0,3.08,0.0,1.58,1136.8082448658247,0.0,194.79,3
a_fit /µM,0,400,0.493,1790.0,0.0,3.08,0.0,1.56,1145.6608340096757,0.0,197.058,2
a_fit /µM,0,400,0.491,1790.0,0.0,3.08,0.0,1.57,1143.3015343352097,0.0,196.224,1
a_fit /µM,0,450,0.566,1770.0,0.0,3.46,0.0,1.5,1178.2540835952927,0.0,254.568,3
a_fit /µM,0,450,0.568,1770.0,0.0,3.46,0.0,1.5,1182.3560671474868,0.0,255.544,2
a_fit /µM,0,450,0.569,1780.0,0.0,3.46,0.0,1.49,1190.1900233301494,0.0,256.08,1
a_fit /µM,0,500,0.63,1760.0,0.0,3.85,0.0,1.43,1236.5337831184358,0.0,314.872,3
a_fit /µM,0,500,0.621,1760.0,0.0,3.85,0.0,1.46,1209.3325034014676,0.0,310.612,2
a_fit /µM,0,500,0.621,1770.0,0.0,3.85,0.0,1.46,1212.2574865664226,0.0,310.356,1
a_fit /µM,0,1000,0.837,1730.0,0.0,7.69,0.0,1.26,1375.3753070590744,0.0,837.294,2
a_fit /µM,0,1000,0.839,1730.0,0.0,7.69,0.0,1.24,1390.3310306850603,0.0,838.898,3
a_fit /µM,0,1000,0.836,1730.0,0.0,7.69,0.0,1.27,1368.2869543700992,0.0,835.89,1
a_fit /µM,0,2500,0.942,1710.0,0.0,19.2,0.0,1.12,1519.6528559285482,0.0,2355.46,1
a_fit /µM,0,2500,0.941,1710.0,0.0,19.2,0.0,1.14,1501.005164141778,0.0,2353.702,2
a_fit /µM,0,2500,0.942,1710.0,0.0,19.2,0.0,1.13,1508.1184999193908,0.0,2354.298,3
a_fit /µM,0,5000,0.972,1700.0,0.0,38.5,0.0,1.08,1569.3368955642727,0.0,4862.228643216081,1
a_fit /µM,0,5000,0.972,1690.0,0.0,38.5,0.0,1.09,1553.104277181347,0.0,4861.633245382585,3
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.07,1578.7095134748058,0.0,4863.419525065963,2
a_fit /µM,5,400,0.486,1780.0,0.0385,3.08,0.0304,1.57,1131.6362571495647,1.052,195.622,3
a_fit /µM,5,400,0.481,1780.0,0.0385,3.08,0.0322,1.59,1124.5958582170645,0.812,193.844,2
a_fit /µM,5,400,0.48,1790.0,0.0385,3.08,0.0307,1.59,1124.96511310933,1.012,193.46,1
a_fit /µM,5,450,0.566,1770.0,0.0385,3.46,0.0305,1.49,1191.1106149817442,1.042,256.488,3
a_fit /µM,5,450,0.571,1770.0,0.0385,3.46,0.0303,1.47,1202.923371518188,1.064,258.708,2
a_fit /µM,5,450,0.562,1770.0,0.0385,3.46,0.0302,1.5,1180.248214917417,1.078,254.67,1
a_fit /µM,5,500,0.625,1760.0,0.0385,3.85,0.0293,1.43,1230.5996394441315,1.2,314.394,3
a_fit /µM,5,500,0.619,1760.0,0.0385,3.85,0.0271,1.45,1209.5657002120545,1.482,311.164,2
a_fit /µM,5,500,0.623,1760.0,0.0385,3.85,0.0275,1.44,1222.6423024503529,1.424,313.122,1
a_fit /µM,5,1000,0.833,1730.0,0.0385,7.69,0.0201,1.27,1356.3133671678197,2.39,834.932,1
a_fit /µM,5,1000,0.835,1730.0,0.0385,7.69,0.0196,1.26,1367.9379594949776,2.466,836.628,3
a_fit /µM,5,1000,0.836,1730.0,0.0385,7.69,0.0224,1.25,1386.502625511716,2.1,838.06,2
a_fit /µM,5,2500,0.941,1710.0,0.0385,19.2,0.0195,1.13,1509.337293254385,2.498,2354.382,3
a_fit /µM,5,2500,0.94,1710.0,0.0385,19.2,0.0111,1.15,1481.4350256906923,3.568,2351.67,2
a_fit /µM,5,2500,0.941,1710.0,0.0385,19.2,0.0122,1.14,1503.607057076569,3.432,2353.988,1
a_fit /µM,5,5000,0.972,1710.0,0.0385,38.5,0.0065,1.08,1577.9917593472385,4.173020527859237,4862.615835777126,2
a_fit /µM,5,5000,0.972,1700.0,0.0385,38.5,0.0157,1.09,1564.8691685344984,3.0050251256281406,4861.69095477387,3
