Phase,Size,Volume,N,N_mRNA,N_Protein,<mRNA>,<Protein>,NmRNA,NPro,N_mRNA/NmRNA,replicate
Dense_a,11.6,6615.8,194.656,0.812,193.844,,0.029,5,400,0.0,2
Dense_a,11.7,6669.3,194.79,0.0,194.79,,0.0292,0,400,0.0,3
Dense_a,11.7,6738.1,197.058,0.0,197.058,,0.0291,0,400,0.0,2
Dense_a,11.7,6721.3,196.224,0.0,196.224,,0.0291,0,400,0.0,1
Dense_a,11.5,6364.8,194.468,5.808,188.66,,0.0288,50,400,0.11616,1
Dense_a,11.6,6535.9,198.32,5.942,192.378,,0.0288,50,400,0.11884,2
Dense_a,11.6,6517.8,195.484,3.082,192.402,,0.0289,25,400,0.12328,2
Dense_a,11.6,6569.2,198.904,6.208,192.696,,0.0288,50,400,0.12416,3
Dense_a,10.7,5092.5,200.038,4.702,195.336,,0.0288,35,400,0.13434285714285715,1
Dense_a,10.6,5029.3,198.5,4.704,193.796,,0.0289,35,400,0.1344,2
Dense_a,10.6,4936.6,195.646,4.898,190.748,,0.0289,35,400,0.13994285714285715,3
Dense_a,11.6,6547.5,195.92,3.58,192.34,,0.029,25,400,0.1432,3
Dense_a,11.7,6722.3,200.602,4.264,196.338,,0.0289,25,400,0.17056000000000002,1
Dense_a,11.7,6724.6,198.526,1.782,196.744,,0.0289,10,400,0.1782,3
Dense_a,11.6,6613.3,194.472,1.012,193.46,,0.0291,5,400,0.2024,1
Dense_a,11.6,6621.4,195.836,2.08,193.756,,0.029,10,400,0.20800000000000002,2
Dense_a,11.7,6729.9,196.674,1.052,195.622,,0.0289,5,400,0.2104,3
Dense_a,11.7,6678.5,199.182,2.208,196.974,,0.029,10,400,0.22080000000000002,1
Dense_a,12.9,8896.9,254.568,0.0,254.568,,0.0288,0,450,0.0,3
Dense_a,12.9,8933.9,255.544,0.0,255.544,,0.0288,0,450,0.0,2
Dense_a,12.9,8901.7,256.08,0.0,256.08,,0.0289,0,450,0.0,1
Dense_a,12.8,8779.6,259.818,6.956,252.862,,0.0286,50,450,0.13912000000000002,1
Dense_a,12.7,8565.8,255.71,7.292,248.418,,0.0286,50,450,0.14584,2
Dense_a,11.8,6852.0,256.452,5.174,251.278,,0.0286,35,450,0.14782857142857145,2
Dense_a,11.7,6776.6,255.99,5.176,250.814,,0.0286,35,450,0.1478857142857143,3
Dense_a,12.8,8814.5,260.356,7.424,252.932,,0.0285,50,450,0.14848,3
Dense_a,11.8,6817.7,256.672,5.336,251.336,,0.0287,35,450,0.15245714285714287,1
Dense_a,12.8,8790.4,257.696,4.44,253.256,,0.0287,25,450,0.1776,1
Dense_a,12.9,8935.6,258.718,1.812,256.906,,0.0288,10,450,0.1812,2
Dense_a,12.9,9011.8,264.052,4.774,259.278,,0.0286,25,450,0.19096,3
Dense_a,12.8,8816.1,259.652,4.81,254.842,,0.0286,25,450,0.1924,2
Dense_a,12.9,8923.7,257.53,1.042,256.488,,0.0288,5,450,0.2084,3
Dense_a,12.9,8893.5,259.786,2.114,257.672,,0.0288,10,450,0.21139999999999998,3
