Phase,Size,Volume,N,N_mRNA,N_Protein,<mRNA>,<Protein>,NmRNA,NPro,N_mRNA/NmRNA,replicate
Dense_a,11.3,6063.8,175.622,0.0,175.622,,0.0289,0,400,0.0,1
Dense_a,11.2,5914.8,172.218,0.0,172.218,,0.029,0,400,0.0,2
Dense_a,11.3,6029.0,174.612,0.0,174.612,,0.0288,0,400,0.0,3
Dense_a,11.4,6239.7,193.514,9.942,183.572,,0.0285,50,400,0.19884000000000002,2
Dense_a,11.3,6012.4,187.77,9.956,177.814,,0.0285,50,400,0.19912,1
Dense_a,11.4,6286.1,195.954,10.414,185.54,,0.0285,50,400,0.20828,3
Dense_a,10.4,4773.5,192.84,7.672,185.168,,0.0287,35,400,0.21919999999999998,1
Dense_a,10.4,4768.6,192.792,8.582,184.21,,0.0286,35,400,0.24520000000000003,2
Dense_a,10.5,4829.0,195.472,8.748,186.724,,0.0286,35,400,0.24994285714285713,3
Dense_a,11.4,6210.6,188.346,6.74,181.606,,0.0285,25,400,0.2696,1
Dense_a,11.5,6388.4,193.83,7.174,186.656,,0.0285,25,400,0.28696,2
Dense_a,11.5,6319.0,193.446,7.424,186.022,,0.0286,25,400,0.29696,3
Dense_a,11.4,6215.0,186.004,3.856,182.148,,0.0289,10,400,0.3856,2
Dense_a,11.2,5948.3,176.84,1.94,174.9,,0.0289,5,400,0.388,1
Dense_a,11.4,6231.4,186.126,3.902,182.224,,0.0287,10,400,0.3902,3
Dense_a,11.4,6244.2,186.444,4.15,182.294,,0.0286,10,400,0.41500000000000004,1
Dense_a,11.3,5995.2,177.13,2.348,174.782,,0.0287,5,400,0.46959999999999996,2
Dense_a,11.4,6220.5,183.114,2.54,180.574,,0.0287,5,400,0.508,3
Dense_a,12.7,8504.1,241.72,0.0,241.72,,0.0287,0,450,0.0,1
Dense_a,12.5,8271.7,235.402,0.0,235.402,,0.0287,0,450,0.0,2
Dense_a,12.6,8394.2,240.142,0.0,240.142,,0.0288,0,450,0.0,3
Dense_a,12.6,8406.0,255.552,11.786,243.766,,0.0284,50,450,0.23571999999999999,1
Dense_a,12.7,8556.3,257.224,12.256,244.968,,0.0282,50,450,0.24512,3
Dense_a,12.6,8387.5,255.256,12.512,242.744,,0.0284,50,450,0.25024,2
Dense_a,11.7,6670.2,253.236,9.586,243.65,,0.0282,35,450,0.2738857142857143,3
Dense_a,11.5,6450.9,249.592,10.126,239.466,,0.0285,35,450,0.2893142857142857,1
Dense_a,11.6,6570.2,253.536,10.36,243.176,,0.0285,35,450,0.296,2
Dense_a,12.6,8478.5,251.962,7.84,244.122,,0.0285,25,450,0.3136,2
Dense_a,12.7,8480.8,252.722,8.118,244.604,,0.0285,25,450,0.32472,1
Dense_a,12.6,8415.1,251.318,8.644,242.674,,0.0285,25,450,0.34576,3
Dense_a,12.6,8340.0,244.286,3.976,240.31,,0.0286,10,450,0.3976,2
Dense_a,12.6,8439.4,245.788,4.312,241.476,,0.0284,10,450,0.4312,1
Dense_a,12.7,8491.0,248.026,5.096,242.93,,0.0285,10,450,0.5096,3
Dense_a,12.6,8353.3,241.528,2.63,238.898,,0.0286,5,450,0.526,2
Dense_a,12.6,8401.2,243.62,2.648,240.972,,0.0287,5,450,0.5296000000000001,1
Dense_a,12.7,8495.9,245.918,2.83,243.088,,0.0286,5,450,0.5660000000000001,3
Dense_a,13.6,10642.9,298.46,0.0,298.46,,0.0284,0,500,0.0,1
Dense_a,13.6,10532.7,297.942,0.0,297.942,,0.0287,0,500,0.0,2
Dense_a,13.6,10527.8,297.17,0.0,297.17,,0.0285,0,500,0.0,3
Dense_a,13.7,10654.2,315.346,13.3,302.046,,0.0282,50,500,0.266,3
Dense_a,13.7,10703.2,318.67,14.188,304.482,,0.0282,50,500,0.28376,1
Dense_a,13.7,10704.3,317.41,14.456,302.954,,0.0282,50,500,0.28912,2
Dense_a,12.6,8437.8,314.388,11.552,302.836,,0.0283,35,500,0.3300571428571428,1
Dense_a,12.6,8424.4,312.062,11.934,300.128,,0.0282,35,500,0.34097142857142854,3
Dense_a,12.6,8405.8,312.968,12.182,300.786,,0.0283,35,500,0.34805714285714284,2
Dense_a,13.7,10657.6,311.322,8.8,302.522,,0.0283,25,500,0.35200000000000004,2
Dense_a,13.5,10416.1,306.574,9.0,297.574,,0.0284,25,500,0.36,1
Dense_a,13.6,10632.9,311.066,9.354,301.712,,0.0284,25,500,0.37416,3
Dense_a,13.7,10661.3,306.06,5.064,300.996,,0.0284,10,500,0.5064,1
Dense_a,13.7,10685.0,307.604,5.11,302.494,,0.0285,10,500,0.511,3
Dense_a,13.6,10652.9,308.086,5.11,302.976,,0.0285,10,500,0.511,2
Dense_a,13.6,10478.2,300.62,2.76,297.86,,0.0286,5,500,0.5519999999999999,2
Dense_a,13.7,10656.9,305.196,2.812,302.384,,0.0285,5,500,0.5624,1
Dense_a,13.7,10665.5,303.174,2.906,300.268,,0.0284,5,500,0.5812,3
Dense_a,19.3,30182.7,825.678,0.0,825.678,,0.028,0,1000,0.0,2
Dense_a,19.3,30075.0,827.412,0.0,827.412,,0.0281,0,1000,0.0,3
Dense_a,19.3,30013.6,825.528,0.0,825.528,,0.0281,0,1000,0.0,1
Dense_a,19.3,30126.1,848.272,21.984,826.288,,0.0279,50,1000,0.43968,3
Dense_a,19.3,30079.1,848.14,22.908,825.232,,0.0278,50,1000,0.45816,2
Dense_a,19.3,30014.8,850.766,23.512,827.254,,0.0279,50,1000,0.47024,1
Dense_a,18.3,25713.2,846.644,18.956,827.688,,0.028,35,1000,0.5416,1
Dense_a,18.3,25784.2,847.238,20.206,827.032,,0.0278,35,1000,0.5773142857142857,3
Dense_a,19.3,29941.1,840.838,14.92,825.918,,0.0279,25,1000,0.5968,1
Dense_a,18.3,25666.6,851.89,21.466,830.424,,0.0279,35,1000,0.6133142857142857,2
Dense_a,19.3,30264.1,843.922,15.736,828.186,,0.0279,25,1000,0.62944,2
Dense_a,19.3,30130.4,843.968,15.828,828.14,,0.0279,25,1000,0.63312,3
Dense_a,19.3,30149.8,831.966,7.042,824.924,,0.028,10,1000,0.7041999999999999,1
Dense_a,19.3,30224.6,830.022,3.854,826.168,,0.028,5,1000,0.7708,1
Dense_a,19.3,30253.8,837.436,7.73,829.706,,0.028,10,1000,0.773,2
Dense_a,19.3,30219.8,830.132,3.866,826.266,,0.028,5,1000,0.7732,3
Dense_a,19.3,30206.8,835.672,7.844,827.828,,0.028,10,1000,0.7844,3
Dense_a,19.3,30041.1,829.202,4.054,825.148,,0.028,5,1000,0.8108000000000001,2
Dense_a,27.5,86965.0,2342.834,0.0,2342.834,,0.0276,0,2500,0.0,1
Dense_a,27.5,86903.0,2343.04,0.0,2343.04,,0.0277,0,2500,0.0,2
Dense_a,27.5,86777.8,2343.738,0.0,2343.738,,0.0277,0,2500,0.0,3
Dense_a,27.5,86809.9,2376.208,34.614,2341.594,,0.0275,50,2500,0.6922799999999999,1
Dense_a,27.5,87009.4,2380.876,36.396,2344.48,,0.0275,50,2500,0.72792,3
Dense_a,27.4,86518.9,2380.636,37.282,2343.354,,0.0276,50,2500,0.74564,2
Dense_a,26.5,78023.8,2371.904,27.576,2344.328,,0.0276,35,2500,0.7878857142857143,1
Dense_a,27.5,86687.3,2363.542,20.166,2343.376,,0.0277,25,2500,0.80664,3
Dense_a,27.5,86983.2,2364.518,20.402,2344.116,,0.0276,25,2500,0.81608,2
Dense_a,26.5,77867.7,2373.67,28.846,2344.824,,0.0276,35,2500,0.8241714285714286,3
Dense_a,26.5,78173.2,2375.314,29.03,2346.284,,0.0276,35,2500,0.8294285714285715,2
Dense_a,27.5,87049.5,2365.942,20.996,2344.946,,0.0276,25,2500,0.8398399999999999,1
Dense_a,27.5,86815.0,2352.12,8.46,2343.66,,0.0277,10,2500,0.8460000000000001,2
Dense_a,27.5,87059.4,2345.176,4.232,2340.944,,0.0276,5,2500,0.8464,3
Dense_a,27.5,86866.8,2352.468,8.87,2343.598,,0.0277,10,2500,0.8869999999999999,1
Dense_a,27.5,87045.1,2356.714,8.894,2347.82,,0.0277,10,2500,0.8894,3
Dense_a,27.5,86753.1,2348.742,4.488,2344.254,,0.0277,5,2500,0.8976000000000001,2
Dense_a,27.5,86845.3,2349.322,4.766,2344.556,,0.0277,5,2500,0.9532,1
Dense_a,35.0,180223.2,4852.193467336683,0.0,4852.193467336683,,0.0276,0,5000,0.0,1
Dense_a,35.1,180945.1,4856.26618705036,0.0,4856.26618705036,,0.0275,0,5000,0.0,3
Dense_a,35.1,180643.6,4856.570351758794,0.0,4856.570351758794,,0.0275,0,5000,0.0,2
Dense_a,35.2,181919.2,4895.786279683377,42.992084432717675,4852.79419525066,,0.0271,50,5000,0.8598416886543535,1
Dense_a,35.2,183207.9,4898.773869346734,44.32914572864322,4854.44472361809,,0.0269,50,5000,0.8865829145728644,3
Dense_a,34.1,165582.9,4884.548,31.056,4853.492,,0.0275,35,5000,0.8873142857142857,2
