Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,0,400,0.49,1780.0,0.0,3.08,0.0,1.57,1134.9035117401652,0.0,196.11,2
a_fit /µM,0,400,0.477,1790.0,0.0,3.08,0.0,1.61,1114.6061989421742,0.0,190.842,3
a_fit /µM,0,400,0.492,1780.0,0.0,3.08,0.0,1.56,1138.341698894597,0.0,196.948,1
a_fit /µM,0,450,0.569,1770.0,0.0,3.46,0.0,1.49,1183.6499378248543,0.0,256.08,2
a_fit /µM,0,450,0.566,1780.0,0.0,3.46,0.0,1.5,1181.1513643909225,0.0,254.674,3
a_fit /µM,0,450,0.564,1770.0,0.0,3.46,0.0,1.51,1168.4215680293762,0.0,253.664,1
a_fit /µM,0,500,0.626,1770.0,0.0,3.85,0.0,1.44,1227.5050310897336,0.0,313.056,2
a_fit /µM,0,500,0.626,1760.0,0.0,3.85,0.0,1.44,1222.2003280672218,0.0,313.084,3
a_fit /µM,0,500,0.631,1760.0,0.0,3.85,0.0,1.42,1238.8422579240782,0.0,315.414,1
a_fit /µM,0,1000,0.837,1730.0,0.0,7.69,0.0,1.26,1379.266283073566,0.0,837.354,2
a_fit /µM,0,1000,0.84,1730.0,0.0,7.69,0.0,1.24,1397.065948109329,0.0,839.536,3
a_fit /µM,0,1000,0.838,1730.0,0.0,7.69,0.0,1.25,1386.3905887497856,0.0,838.144,1
a_fit /µM,0,2500,0.942,1710.0,0.0,19.2,0.0,1.13,1515.949513260241,0.0,2354.66,1
a_fit /µM,0,2500,0.942,1710.0,0.0,19.2,0.0,1.12,1519.719252039447,0.0,2355.524,2
a_fit /µM,0,2500,0.941,1710.0,0.0,19.2,0.0,1.14,1502.6554260079838,0.0,2353.528,3
a_fit /µM,0,5000,0.972,1700.0,0.0,38.5,0.0,1.09,1564.575121229198,0.0,4861.693467336683,1
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.07,1578.1003225485815,0.0,4863.439698492462,3
