Phase,Size,Volume,N,N_mRNA,N_Protein,<mRNA>,<Protein>,NmRNA,NPro,N_mRNA/NmRNA,replicate
Dense_a,11.5,6434.9,187.192,0.0,187.192,,0.0291,0,400,0.0,3
Dense_a,11.6,6463.8,187.82,0.0,187.82,,0.0291,0,400,0.0,2
Dense_a,11.6,6497.2,188.324,0.0,188.324,,0.0291,0,400,0.0,1
Dense_a,11.6,6500.8,200.706,10.456,190.25,,0.0284,50,400,0.20912,3
Dense_a,11.7,6672.0,206.422,10.96,195.462,,0.0285,50,400,0.2192,2
Dense_a,11.6,6547.7,203.496,11.012,192.484,,0.0285,50,400,0.22024000000000002,1
Dense_a,10.7,5088.1,204.242,9.146,195.096,,0.0286,35,400,0.2613142857142857,2
Dense_a,10.7,5148.2,205.31,9.172,196.138,,0.0285,35,400,0.2620571428571429,1
Dense_a,10.7,5142.4,206.194,9.488,196.706,,0.0285,35,400,0.27108571428571426,3
Dense_a,11.7,6675.4,201.76,7.758,194.002,,0.0286,25,400,0.31032,1
Dense_a,11.7,6735.1,204.502,8.012,196.49,,0.0286,25,400,0.32048000000000004,2
Dense_a,11.7,6635.9,201.422,8.02,193.402,,0.0286,25,400,0.3208,3
Dense_a,11.6,6572.7,196.892,4.034,192.858,,0.0289,10,400,0.4034,1
Dense_a,11.7,6699.3,200.246,4.082,196.164,,0.0289,10,400,0.4082,3
Dense_a,11.6,6610.1,196.746,4.496,192.25,,0.0286,10,400,0.44960000000000006,2
Dense_a,11.6,6461.6,191.19,2.304,188.886,,0.0289,5,400,0.4608,1
Dense_a,11.6,6574.8,192.756,2.32,190.436,,0.0288,5,400,0.46399999999999997,3
Dense_a,11.6,6529.5,192.868,2.56,190.308,,0.0289,5,400,0.512,2
Dense_a,12.8,8733.0,249.1,0.0,249.1,,0.0288,0,450,0.0,3
Dense_a,12.8,8693.3,248.518,0.0,248.518,,0.0288,0,450,0.0,2
Dense_a,12.8,8689.1,249.008,0.0,249.008,,0.0289,0,450,0.0,1
Dense_a,12.8,8794.3,266.066,12.36,253.706,,0.0284,50,450,0.24719999999999998,3
Dense_a,12.8,8862.6,269.27,12.714,256.556,,0.0285,50,450,0.25428,1
Dense_a,12.8,8729.9,265.278,13.106,252.172,,0.0284,50,450,0.26212,2
Dense_a,11.8,6872.0,263.866,10.57,253.296,,0.0285,35,450,0.302,2
Dense_a,11.9,7010.1,268.22,11.15,257.07,,0.0284,35,450,0.31857142857142856,3
Dense_a,11.9,7003.9,268.428,11.194,257.234,,0.0285,35,450,0.31982857142857146,1
Dense_a,12.8,8847.6,262.63,8.4,254.23,,0.0285,25,450,0.336,2
Dense_a,12.8,8823.0,263.934,8.964,254.97,,0.0286,25,450,0.35856,1
Dense_a,12.8,8860.8,265.316,9.524,255.792,,0.0286,25,450,0.38095999999999997,3
Dense_a,12.8,8819.5,258.242,4.902,253.34,,0.0286,10,450,0.4902,2
Dense_a,12.9,8889.3,259.344,4.922,254.422,,0.0286,10,450,0.49219999999999997,1
Dense_a,12.8,8843.5,259.298,4.992,254.306,,0.0287,10,450,0.4992,3
Dense_a,12.8,8751.8,253.742,2.814,250.928,,0.0287,5,450,0.5628,2
Dense_a,12.8,8798.7,255.206,3.076,252.13,,0.0287,5,450,0.6152,3
Dense_a,12.8,8800.4,255.024,3.116,251.908,,0.0287,5,450,0.6232,1
Dense_a,13.7,10850.2,307.174,0.0,307.174,,0.0286,0,500,0.0,3
Dense_a,13.7,10795.3,305.304,0.0,305.304,,0.0287,0,500,0.0,2
Dense_a,13.8,10895.0,307.626,0.0,307.626,,0.0287,0,500,0.0,1
Dense_a,13.7,10838.9,323.988,13.904,310.084,,0.0284,50,500,0.27808,2
Dense_a,13.7,10815.5,322.67,14.088,308.582,,0.0284,50,500,0.28176,3
Dense_a,13.8,10964.0,326.584,14.472,312.112,,0.0283,50,500,0.28944,1
Dense_a,12.8,8764.0,323.158,11.696,311.462,,0.0283,35,500,0.33417142857142856,3
Dense_a,12.8,8813.1,326.642,12.63,314.012,,0.0284,35,500,0.3608571428571429,2
Dense_a,12.7,8546.7,320.328,12.742,307.586,,0.0285,35,500,0.36405714285714286,1
Dense_a,13.8,10930.0,320.222,9.818,310.404,,0.0284,25,500,0.39271999999999996,3
Dense_a,13.8,10956.4,321.91,10.492,311.418,,0.0284,25,500,0.41968000000000005,1
Dense_a,13.8,10962.1,322.486,10.696,311.79,,0.0284,25,500,0.42784,2
Dense_a,13.8,11007.4,317.754,5.202,312.552,,0.0286,10,500,0.5202,1
Dense_a,13.8,10920.8,315.774,5.55,310.224,,0.0285,10,500,0.5549999999999999,3
Dense_a,13.8,10893.0,316.05,5.59,310.46,,0.0286,10,500,0.5589999999999999,2
Dense_a,13.7,10874.0,311.078,2.852,308.226,,0.0286,5,500,0.5704,2
Dense_a,13.8,10917.4,314.108,3.166,310.942,,0.0287,5,500,0.6332,3
Dense_a,13.8,10923.6,312.454,3.444,309.01,,0.0285,5,500,0.6888,1
Dense_a,19.3,30294.5,833.992,0.0,833.992,,0.0282,0,1000,0.0,1
Dense_a,19.3,30262.1,832.038,0.0,832.038,,0.0281,0,1000,0.0,3
Dense_a,19.3,30340.1,834.378,0.0,834.378,,0.0282,0,1000,0.0,2
Dense_a,19.3,30190.6,857.222,24.346,832.876,,0.028,50,1000,0.48692,3
Dense_a,19.3,30224.1,856.636,24.658,831.978,,0.028,50,1000,0.49316000000000004,2
Dense_a,19.3,30282.1,858.866,24.798,834.068,,0.028,50,1000,0.49595999999999996,1
Dense_a,18.3,25874.4,855.502,19.982,835.52,,0.028,35,1000,0.5709142857142857,1
Dense_a,18.3,25781.7,856.914,20.088,836.826,,0.0281,35,1000,0.5739428571428572,3
Dense_a,18.4,25976.7,856.474,20.194,836.28,,0.028,35,1000,0.5769714285714286,2
Dense_a,19.3,30340.3,849.092,15.33,833.762,,0.028,25,1000,0.6132,1
Dense_a,19.3,30288.0,850.092,15.506,834.586,,0.0281,25,1000,0.62024,3
Dense_a,19.4,30364.6,850.928,16.214,834.714,,0.028,25,1000,0.6485599999999999,2
